Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
19,5381036,23,0,0,6,1804800,20,1804800,21,1804800,21,1804800,22,1804800,23,1804800,24,2208000,24,2208000
107,5381508,111,0,0,106,1804800,108,1804800,109,1804800,109,1804800,110,1804800,111,1804800,112,2208000,113,2208000
208,5382768,212,0,0,206,1804800,208,1804800,209,1804800,210,1804800,211,1804800,212,1804800,213,2208000,213,2208000
309,5384564,312,0,0,307,1804800,309,1804800,310,1804800,311,1804800,312,1804800,313,1804800,313,1900800,314,1900800
411,5385068,416,0,0,409,1804800,412,1804800,413,1804800,414,1804800,415,1804800,416,1804800,417,1900800,417,1900800
511,5385856,515,0,0,509,1804800,512,1804800,513,1804800,514,1804800,515,1804800,516,1804800,517,1900800,518,1900800
611,5386888,615,0,0,610,1804800,611,1804800,612,1804800,613,1804800,614,1804800,615,1804800,616,2208000,616,2208000
711,5387368,714,0,0,710,1804800,712,1804800,712,1804800,713,1804800,714,1804800,714,1804800,715,1900800,716,1900800
812,5388148,816,0,0,811,1804800,813,1804800,813,1804800,814,1804800,815,1804800,816,1804800,817,1900800,817,1900800
913,5388628,916,0,0,911,1804800,913,1804800,914,1804800,915,1804800,916,1804800,917,1804800,918,1900800,918,1900800
1013,5389912,1016,0,0,1011,1804800,1013,1804800,1014,1804800,1014,1804800,1015,1804800,1016,1804800,1017,1900800,1017,1900800
1113,5390928,1116,0,0,1112,1804800,1113,1804800,1114,1804800,1115,1804800,1116,1804800,1116,1804800,1117,1900800,1118,1900800
1214,5391432,1218,0,0,1212,1804800,1214,1804800,1216,1804800,1217,1804800,1218,1804800,1219,1804800,1220,1900800,1221,1900800
1315,5392472,1319,0,0,1313,1248000,1315,1248000,1317,1248000,1317,1248000,1318,1248000,1320,1248000,1321,1248000,1321,1248000
1416,5393480,1421,0,0,1414,1248000,1416,1248000,1418,1248000,1419,1248000,1420,1248000,1421,1248000,1423,1248000,1424,1248000
1516,5394008,1520,0,0,1514,1248000,1517,1248000,1518,1248000,1519,1248000,1520,1248000,1521,1248000,1522,1248000,1523,1248000
1620,5394504,1632,0,0,1616,576000,1621,576000,1624,576000,1627,576000,1629,576000,1633,576000,1635,787200,1637,787200
1721,5395268,1733,0,0,1717,576000,1722,576000,1726,576000,1729,576000,1731,576000,1734,576000,1737,787200,1740,787200
1821,5395268,1833,0,0,1818,576000,1822,576000,1825,576000,1829,576000,1831,576000,1833,576000,1836,787200,1839,787200
1922,5395520,1935,0,0,1918,576000,1923,576000,1926,576000,1929,576000,1933,576000,1936,576000,1939,787200,1941,787200
2024,5395772,2040,0,0,2020,576000,2025,576000,2027,576000,2033,576000,2037,576000,2041,576000,2043,787200,2045,787200
2125,5396724,2138,0,0,2121,1017600,2126,768000,2129,768000,2133,768000,2136,768000,2139,768000,2141,787200,2143,787200
2225,5397732,2235,0,0,2222,576000,2226,576000,2229,576000,2231,576000,2233,576000,2236,576000,2238,787200,2240,787200
2326,5398552,2336,50398,48719,2323,576000,2327,576000,2329,576000,2332,576000,2334,576000,2337,576000,2340,787200,2344,787200
2427,5399056,2438,50398,48719,2424,576000,2428,576000,2431,576000,2433,576000,2436,576000,2438,576000,2443,787200,2444,787200
2529,5399560,2537,50398,48719,2525,576000,2530,576000,2532,576000,2534,576000,2535,576000,2538,576000,2540,787200,2542,787200
2631,5385772,2648,50398,48719,2627,768000,2632,768000,2634,768000,2644,1248000,2647,1248000,2649,1248000,2650,787200,2652,787200
2731,5386324,2746,0,0,2727,576000,2732,576000,2739,576000,2742,576000,2744,576000,2747,576000,2750,787200,2752,787200
2832,5386828,2847,0,0,2828,576000,2833,576000,2837,576000,2841,576000,2845,768000,2847,768000,2849,787200,2851,787200
2933,5386852,2946,0,0,2928,768000,2933,768000,2939,768000,2942,768000,2944,768000,2947,768000,2949,787200,2950,787200
3036,5387608,3052,0,0,3031,576000,3037,576000,3043,576000,3046,576000,3049,576000,3053,576000,3058,787200,3061,787200
3137,5387936,3145,0,0,3131,1017600,3137,1017600,3140,1017600,3142,1017600,3144,1017600,3146,1017600,3148,787200,3149,787200
3236,5392724,3243,0,0,3232,1017600,3236,1017600,3238,1017600,3240,1017600,3242,1017600,3243,768000,3245,787200,3246,787200
3337,5393228,3347,0,0,3333,768000,3338,768000,3340,768000,3343,768000,3345,576000,3348,576000,3351,787200,3353,787200
3438,5393544,3447,0,0,3435,768000,3439,768000,3441,768000,3444,1017600,3445,1017600,3448,1017600,3449,787200,3450,787200
3539,5394552,3546,0,0,3536,1017600,3540,1017600,3542,1017600,3543,1017600,3545,1017600,3547,1017600,3550,787200,3551,787200
3641,5395056,3649,16799,15120,3637,768000,3642,768000,3644,768000,3646,768000,3648,768000,3650,768000,3652,787200,3654,787200
3741,5396064,3750,16799,15120,3738,1248000,3742,1248000,3744,1017600,3745,1017600,3748,1017600,3750,1017600,3751,787200,3753,787200
3842,5397072,3850,16799,15120,3839,1248000,3843,1017600,3844,1017600,3847,1017600,3849,1017600,3851,1017600,3852,787200,3853,787200
3943,5397576,3952,16799,15120,3940,1017600,3944,576000,3946,576000,3948,576000,3951,576000,3953,576000,3956,787200,3958,787200
4044,5398080,4052,16799,15120,4041,1017600,4045,1017600,4047,1017600,4049,1017600,4051,1017600,4052,1017600,4053,787200,4055,787200
4146,5398616,4152,16799,15120,4143,1248000,4147,1248000,4148,1248000,4150,1248000,4151,1248000,4153,1248000,4155,787200,4156,787200
4247,5399372,4253,16799,15120,4244,1017600,4248,1017600,4250,1017600,4251,1017600,4253,1017600,4254,1017600,4255,787200,4256,787200
4352,5399908,4364,16799,15120,4345,768000,4352,768000,4355,768000,4357,768000,4361,768000,4365,1248000,4367,787200,4368,787200
4450,5401136,4459,16799,15120,4445,1804800,4451,1804800,4453,1804800,4455,1804800,4458,1804800,4460,1804800,4461,787200,4462,787200
4550,5401916,4557,16799,15120,4547,1248000,4551,1248000,4553,1248000,4555,1248000,4556,1248000,4558,1248000,4560,787200,4561,787200
4650,5402900,4657,16799,15120,4648,1017600,4651,1017600,4653,1017600,4654,1017600,4656,1017600,4657,1017600,4659,787200,4660,787200
4753,5402936,4763,16799,15120,4749,768000,4754,768000,4757,768000,4759,768000,4761,768000,4763,1017600,4765,787200,4768,787200
4852,5403944,4859,16799,15120,4850,1017600,4853,1017600,4854,1017600,4856,1017600,4857,1017600,4859,1017600,4861,787200,4863,787200
4954,5404700,4962,16799,15120,4950,1248000,4956,1248000,4957,1248000,4959,1248000,4961,1248000,4962,1248000,4964,787200,4965,787200
5054,5405456,5061,16799,15120,5051,1248000,5055,1248000,5056,1248000,5058,1248000,5060,1248000,5061,1248000,5063,787200,5064,787200
5155,5406156,5160,16799,15120,5152,1248000,5155,1248000,5157,1248000,5158,1248000,5159,1248000,5161,1248000,5162,787200,5163,787200
5258,5406660,5270,16799,15120,5254,576000,5259,576000,5262,576000,5267,768000,5269,768000,5271,768000,5274,787200,5276,787200
5358,5407196,5368,16799,15120,5354,768000,5359,768000,5362,768000,5364,1017600,5367,1017600,5369,1017600,5370,787200,5372,787200
5459,5408456,5466,16799,15120,5456,1248000,5460,1248000,5462,1248000,5464,1248000,5465,1248000,5466,1248000,5467,787200,5469,787200
5560,5408708,5569,16799,15120,5556,768000,5561,768000,5563,1017600,5566,1017600,5568,1017600,5570,1017600,5571,787200,5573,787200
