Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
26,5359748,29,0,0,7,1804800,26,1804800,27,1804800,28,1804800,28,1804800,29,1804800,30,2208000,30,2208000
109,5359748,113,0,0,107,1804800,109,1804800,110,1804800,111,1804800,112,1804800,113,1804800,114,2208000,115,2208000
209,5360504,215,0,0,208,1804800,210,1804800,211,1804800,212,1804800,214,1804800,215,1804800,217,2208000,218,2208000
309,5361764,313,0,0,308,1804800,310,1804800,311,1804800,311,1804800,312,1804800,313,1804800,314,2208000,315,2208000
413,5361764,422,0,0,410,576000,414,576000,416,576000,418,576000,420,576000,423,576000,425,787200,427,787200
515,5362016,527,0,0,511,576000,517,576000,520,576000,523,576000,526,768000,528,768000,530,787200,532,787200
616,5362020,626,0,0,612,576000,617,576000,620,576000,622,576000,624,576000,626,576000,628,787200,630,787200
716,5361768,726,0,0,713,576000,717,576000,720,576000,722,576000,724,576000,727,576000,729,787200,731,787200
816,5362112,823,0,0,813,1248000,817,1248000,819,1248000,820,1248000,821,1248000,823,1248000,825,787200,826,787200
921,5362388,929,0,0,915,576000,922,576000,925,1248000,927,1248000,928,1248000,930,1248000,931,787200,932,787200
1019,5362592,1031,0,0,1016,576000,1021,576000,1023,576000,1025,576000,1029,576000,1031,576000,1034,787200,1035,787200
1121,5362844,1130,0,0,1117,576000,1122,576000,1124,576000,1126,576000,1128,576000,1131,576000,1133,787200,1135,787200
1223,5363096,1237,0,0,1218,576000,1223,576000,1227,576000,1232,576000,1235,576000,1238,576000,1240,787200,1243,787200
1323,5363348,1335,0,0,1319,576000,1324,576000,1327,576000,1329,576000,1333,576000,1336,576000,1338,787200,1341,787200
1424,5363096,1435,0,0,1420,576000,1425,576000,1429,576000,1431,576000,1434,576000,1436,576000,1438,787200,1440,787200
1525,5363600,1536,0,0,1521,576000,1526,576000,1529,576000,1532,576000,1534,576000,1537,576000,1539,787200,1541,787200
1626,5363600,1636,0,0,1622,576000,1627,576000,1630,576000,1632,576000,1634,576000,1637,576000,1640,787200,1642,787200
1729,5363600,1738,0,0,1724,576000,1730,576000,1732,576000,1735,576000,1737,576000,1739,576000,1741,787200,1745,787200
1830,5363852,1843,0,0,1826,576000,1831,576000,1834,576000,1837,576000,1840,576000,1844,576000,1846,787200,1847,787200
1930,5363600,1940,0,0,1926,576000,1931,576000,1934,576000,1936,576000,1938,576000,1941,576000,1943,787200,1945,787200
2031,5363600,2042,0,0,2027,576000,2032,576000,2035,576000,2037,576000,2039,576000,2043,576000,2046,787200,2047,787200
2130,5363852,2135,0,0,2127,1612800,2130,1612800,2132,1612800,2133,1612800,2134,1612800,2135,1612800,2136,787200,2137,787200
2233,5364356,2241,0,0,2229,576000,2234,576000,2235,576000,2237,576000,2239,576000,2242,576000,2244,787200,2246,787200
2334,5364104,2346,0,0,2330,576000,2335,576000,2338,576000,2341,576000,2344,576000,2346,768000,2348,787200,2352,787200
2434,5364356,2448,0,0,2430,576000,2436,576000,2440,576000,2443,576000,2446,576000,2448,576000,2451,787200,2457,787200
2536,5364632,2544,0,0,2531,768000,2537,768000,2539,768000,2541,768000,2543,768000,2545,768000,2547,787200,2549,787200
2637,5364608,2645,0,0,2633,576000,2638,576000,2640,576000,2642,576000,2644,576000,2646,768000,2648,787200,2649,787200
2738,5364860,2748,0,0,2733,576000,2739,576000,2742,576000,2744,576000,2746,768000,2748,768000,2751,787200,2753,787200
2837,5364860,2846,0,0,2834,768000,2838,768000,2840,768000,2842,768000,2844,768000,2846,768000,2848,787200,2850,787200
2940,5365144,2950,0,0,2936,576000,2941,576000,2944,576000,2946,576000,2948,576000,2950,576000,2953,787200,2955,787200
3041,5365144,3051,0,0,3037,576000,3042,576000,3045,576000,3047,576000,3049,576000,3052,576000,3054,787200,3056,787200
3142,5365648,3153,0,0,3138,576000,3143,576000,3146,576000,3149,576000,3151,576000,3154,576000,3156,787200,3159,787200
3241,5369680,3247,0,0,3238,1612800,3242,1612800,3243,1612800,3245,1248000,3246,1248000,3248,1248000,3249,787200,3250,787200
3345,5369704,3356,0,0,3340,576000,3346,576000,3348,576000,3351,576000,3354,576000,3357,576000,3360,787200,3366,787200
3448,5369680,3458,0,0,3444,576000,3449,576000,3452,576000,3454,576000,3456,576000,3459,576000,3462,787200,3465,787200
3549,5370184,3562,0,0,3545,576000,3550,576000,3553,576000,3557,576000,3560,576000,3562,576000,3565,787200,3567,787200
3650,5370184,3661,0,0,3646,576000,3651,576000,3654,576000,3657,576000,3659,576000,3662,576000,3665,787200,3666,787200
3751,5370232,3763,0,0,3747,576000,3752,576000,3755,576000,3758,576000,3760,576000,3764,576000,3766,787200,3768,787200
3855,5370484,3865,0,0,3849,576000,3856,576000,3858,576000,3861,576000,3863,576000,3865,768000,3867,787200,3869,787200
3954,5370500,3964,0,0,3950,576000,3955,576000,3958,576000,3960,576000,3962,576000,3965,1248000,3967,787200,3968,787200
4055,5370500,4065,0,0,4051,576000,4056,576000,4059,576000,4061,576000,4063,576000,4066,576000,4069,787200,4071,787200
4156,5370500,4167,0,0,4152,576000,4157,576000,4160,576000,4162,576000,4165,576000,4168,576000,4171,787200,4173,787200
4257,5367500,4263,0,0,4253,1248000,4257,1248000,4259,1248000,4260,1248000,4262,1248000,4263,1248000,4265,787200,4267,787200
4360,5367752,4374,0,0,4354,576000,4361,576000,4364,576000,4368,576000,4371,576000,4375,576000,4378,787200,4382,787200
4459,5367584,4468,0,0,4455,576000,4460,576000,4462,576000,4464,576000,4466,576000,4469,576000,4471,787200,4473,787200
4557,5368244,4561,0,0,4556,1804800,4558,1804800,4559,1804800,4559,1804800,4560,1804800,4561,1804800,4562,787200,4562,787200
4658,5369508,4662,0,0,4656,1804800,4659,1804800,4660,1804800,4661,1804800,4661,1804800,4662,1804800,4663,787200,4664,787200
4761,5369312,4771,0,0,4757,576000,4762,576000,4764,576000,4767,576000,4770,576000,4772,576000,4775,787200,4777,787200
4862,5369068,4871,0,0,4858,576000,4863,576000,4865,576000,4867,576000,4869,576000,4872,576000,4874,787200,4877,787200
4963,5369040,4972,0,0,4959,576000,4964,576000,4966,576000,4968,576000,4970,576000,4973,576000,4975,787200,4977,787200
5064,5368812,5072,0,0,5060,576000,5065,576000,5067,576000,5069,576000,5071,576000,5073,576000,5075,787200,5078,787200
5165,5369404,5175,0,0,5161,576000,5166,576000,5169,576000,5171,576000,5173,576000,5175,576000,5178,787200,5181,787200
5267,5369664,5277,0,0,5263,576000,5268,576000,5270,576000,5273,576000,5275,576000,5279,576000,5282,787200,5284,787200
5367,5369916,5381,0,0,5363,576000,5370,576000,5372,576000,5377,576000,5380,576000,5382,576000,5386,787200,5388,787200
