Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
72,5386956,75,0,0,70,1804800,72,1804800,73,1804800,74,1804800,75,1804800,75,1804800,76,2208000,77,2208000
172,5387964,176,0,0,171,1804800,173,1804800,174,1804800,175,1804800,175,1804800,176,1804800,177,2208000,178,2208000
273,5389476,276,0,0,272,1804800,274,1804800,274,1804800,275,1804800,276,1804800,277,1804800,278,1900800,278,1900800
374,5390232,377,0,0,372,1804800,374,1804800,375,1804800,376,1804800,376,1804800,377,1804800,378,1900800,379,1900800
475,5390256,478,0,0,473,1804800,475,1804800,476,1804800,477,1804800,478,1804800,479,1804800,479,1900800,480,1900800
575,5390880,579,0,0,573,1804800,576,1804800,577,1804800,578,1804800,578,1804800,579,1804800,580,1900800,580,1900800
676,5391636,679,0,0,674,1804800,676,1804800,677,1804800,678,1804800,679,1804800,680,1804800,680,1900800,681,1900800
776,5392612,781,0,0,774,1804800,777,1804800,778,1804800,779,1804800,780,1804800,781,1804800,782,1900800,782,1900800
876,5392408,879,0,0,875,1804800,876,1804800,877,1804800,878,1804800,879,1804800,880,1804800,880,1900800,881,1900800
976,5394196,979,0,0,975,1804800,977,1804800,978,1804800,978,1804800,979,1804800,980,1804800,981,1900800,981,1900800
1077,5394952,1081,0,0,1076,1804800,1077,1804800,1078,1804800,1079,1804800,1080,1804800,1081,1804800,1083,1900800,1083,1900800
1178,5395480,1181,0,0,1176,1804800,1178,1804800,1179,1804800,1179,1804800,1180,1804800,1181,1804800,1182,1900800,1183,1900800
1279,5396512,1284,0,0,1277,1248000,1280,1248000,1281,1248000,1282,1248000,1283,1248000,1285,1248000,1286,1248000,1287,1248000
1379,5397268,1384,0,0,1378,1248000,1380,1248000,1381,1248000,1382,1248000,1383,1248000,1385,1248000,1386,1248000,1387,1248000
1480,5397192,1483,0,0,1478,1708800,1480,1708800,1481,1708800,1482,1708800,1482,1708800,1483,1708800,1484,1248000,1485,1248000
