Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
59,5264064,62,0,0,58,1804800,59,1804800,60,1804800,61,1804800,62,1804800,63,1804800,63,2208000,64,2208000
159,5264592,163,0,0,158,1804800,160,1804800,161,1804800,161,1804800,162,1804800,163,1804800,164,2208000,164,2208000
260,5266696,263,0,0,259,1804800,260,1804800,261,1804800,262,1804800,262,1804800,263,1804800,264,1900800,265,1900800
360,5267372,363,0,0,359,1804800,361,1804800,361,1804800,362,1804800,362,1804800,363,1804800,364,1900800,365,1900800
462,5268160,465,0,0,460,1804800,462,1804800,463,1804800,463,1804800,464,1804800,465,1804800,466,1900800,466,1900800
561,5268884,565,0,0,560,1804800,562,1804800,563,1804800,563,1804800,564,1804800,565,1804800,566,1900800,567,1900800
662,5269160,665,0,0,661,1804800,662,1804800,663,1804800,664,1804800,665,1804800,665,1804800,666,1900800,667,1900800
763,5269964,766,0,0,761,1804800,763,1804800,764,1804800,765,1804800,765,1804800,766,1804800,767,1900800,768,1900800
863,5270600,867,0,0,862,1804800,864,1804800,864,1804800,865,1804800,866,1804800,867,1804800,868,1900800,869,1900800
964,5271116,967,0,0,962,1804800,964,1804800,965,1804800,965,1804800,966,1804800,967,1804800,968,1900800,968,1900800
1066,5274896,1069,0,0,1064,1804800,1066,1804800,1067,1804800,1067,1804800,1068,1804800,1069,1804800,1069,1900800,1070,1900800
1166,5275400,1169,0,0,1164,1804800,1167,1804800,1168,1804800,1168,1804800,1169,1804800,1170,1804800,1171,1900800,1172,1900800
1267,5276220,1272,0,0,1265,1248000,1267,1248000,1269,1248000,1270,1248000,1271,1248000,1272,1248000,1273,1248000,1274,1248000
1368,5277228,1375,0,0,1366,1248000,1369,1248000,1370,1248000,1372,1248000,1373,1248000,1375,1248000,1376,1248000,1377,1248000
1468,5277528,1473,0,0,1467,1248000,1469,1248000,1470,1248000,1471,1248000,1472,1248000,1474,1248000,1475,1248000,1476,1248000
1571,5277748,1581,0,0,1568,768000,1573,768000,1575,768000,1577,768000,1579,768000,1581,768000,1583,787200,1585,787200
1673,5278504,1684,0,0,1669,576000,1674,576000,1676,576000,1679,576000,1682,576000,1684,576000,1687,787200,1690,787200
1774,5279260,1791,0,0,1770,576000,1776,576000,1780,576000,1783,576000,1788,576000,1792,576000,1795,787200,1799,787200
1874,5279768,1895,0,0,1871,768000,1875,768000,1877,768000,1892,768000,1894,768000,1896,768000,1897,787200,1899,787200
1974,5280272,1980,0,0,1971,1248000,1975,1248000,1976,1248000,1978,1248000,1979,1017600,1981,1017600,1983,787200,1985,787200
2076,5280776,2087,0,0,2072,576000,2077,576000,2080,576000,2083,576000,2085,576000,2088,576000,2091,787200,2094,787200
2177,5281052,2189,0,0,2173,768000,2178,768000,2180,576000,2184,576000,2187,576000,2189,576000,2193,787200,2195,787200
2278,5281620,2289,0,0,2274,1017600,2279,1017600,2281,1017600,2284,1017600,2288,1017600,2290,1017600,2292,787200,2293,787200
2379,5282904,2387,0,0,2375,1017600,2379,576000,2382,576000,2384,576000,2385,576000,2388,576000,2390,787200,2393,787200
2479,5282904,2490,0,0,2476,768000,2480,576000,2484,576000,2486,576000,2488,576000,2490,576000,2493,787200,2496,787200
2580,5283180,2589,16799,0,2576,768000,2581,576000,2584,576000,2586,576000,2588,576000,2590,576000,2592,787200,2594,787200
2682,5283432,2694,16799,0,2677,576000,2683,576000,2685,576000,2690,576000,2693,576000,2695,576000,2697,787200,2699,787200
2782,5284692,2792,16799,0,2778,1248000,2784,768000,2787,768000,2789,768000,2791,768000,2793,768000,2795,787200,2797,787200
2880,5269996,2885,16799,0,2878,1804800,2881,1804800,2882,1804800,2883,1804800,2884,1804800,2885,1804800,2886,787200,2887,787200
2984,5271004,2993,16799,0,2980,576000,2984,576000,2987,576000,2989,576000,2991,576000,2994,576000,2996,787200,2998,787200
3084,5271476,3094,16799,0,3080,576000,3085,576000,3088,576000,3089,576000,3092,576000,3095,576000,3097,1766400,3100,787200
3185,5271508,3197,16799,0,3181,768000,3186,768000,3190,768000,3194,768000,3196,768000,3198,768000,3200,787200,3203,787200
3285,5271724,3295,16799,0,3282,1248000,3287,1248000,3290,1248000,3292,1248000,3293,1248000,3295,1248000,3297,787200,3300,787200
3387,5274560,3396,16799,0,3383,1017600,3388,1017600,3391,1017600,3393,1017600,3395,1017600,3397,1017600,3399,787200,3400,787200
3487,5275292,3496,16799,0,3484,1248000,3488,1248000,3490,1248000,3493,1248000,3495,1248000,3496,1248000,3498,787200,3499,787200
3588,5276300,3599,16799,0,3585,768000,3589,768000,3593,768000,3596,768000,3598,768000,3600,1248000,3601,787200,3603,787200
3688,5276816,3696,16799,0,3685,1248000,3689,1248000,3692,1248000,3693,1248000,3695,1248000,3697,1248000,3698,787200,3699,787200
3790,5276816,3800,16799,0,3786,768000,3791,768000,3794,768000,3797,768000,3799,1248000,3801,1248000,3803,787200,3805,787200
3892,5276816,3903,16799,0,3888,576000,3893,576000,3896,576000,3899,768000,3901,768000,3904,768000,3907,787200,3911,787200
3993,5277824,4008,16799,0,3989,768000,3994,768000,3998,768000,4002,768000,4005,768000,4009,768000,4012,787200,4015,787200
4094,5278076,4105,16799,0,4090,576000,4095,576000,4098,576000,4101,1248000,4103,1248000,4105,1248000,4107,787200,4109,787200
4195,5279336,4203,16799,0,4192,1248000,4196,1248000,4200,1324800,4201,1324800,4202,1324800,4203,1324800,4204,787200,4205,787200
4297,5279336,4306,16799,0,4293,576000,4298,576000,4301,768000,4302,768000,4304,768000,4307,768000,4309,787200,4311,787200
4395,5280344,4401,16799,0,4394,1804800,4396,1804800,4397,1804800,4397,1804800,4398,1804800,4401,1017600,4402,1900800,4403,1900800
4496,5281636,4500,16799,0,4494,1804800,4496,1804800,4497,1804800,4498,1804800,4499,1804800,4501,1804800,4504,2208000,4505,2208000
4599,5282392,4609,16799,0,4596,576000,4600,768000,4602,768000,4604,768000,4606,768000,4611,768000,4614,787200,4616,787200
4700,5282392,4709,16799,0,4697,576000,4701,1248000,4704,1248000,4706,1248000,4708,1248000,4709,1248000,4711,787200,4712,787200
4804,5282896,4811,16799,0,4797,768000,4804,768000,4806,768000,4808,768000,4809,768000,4812,768000,4814,787200,4817,787200
4904,5283652,4918,16799,0,4899,576000,4906,576000,4911,576000,4913,576000,4916,576000,4919,1248000,4921,787200,4923,787200
5007,5284408,5024,16799,0,5000,576000,5011,576000,5015,576000,5017,576000,5022,1248000,5025,1248000,5029,787200,5031,787200
5108,5285164,5122,16799,0,5101,576000,5110,576000,5113,576000,5117,576000,5120,1248000,5122,1248000,5128,787200,5131,787200
5206,5285668,5217,16799,0,5202,768000,5207,768000,5209,768000,5212,768000,5215,768000,5218,768000,5220,787200,5222,787200
5306,5286392,5320,16799,0,5303,768000,5309,768000,5312,768000,5314,768000,5317,768000,5320,1248000,5322,787200,5323,787200
5411,5287148,5423,16799,0,5405,576000,5412,576000,5415,576000,5418,576000,5421,576000,5424,576000,5427,787200,5431,787200
