Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
21,5384088,24,0,0,6,1804800,21,1804800,22,1804800,23,1804800,23,1804800,24,1804800,25,2208000,26,2208000
108,5384592,112,0,0,106,1804800,108,1804800,109,1804800,110,1804800,111,1804800,112,1804800,113,2208000,114,2208000
208,5385632,212,0,0,207,1804800,209,1804800,210,1804800,211,1804800,212,1804800,213,1804800,214,1900800,216,1900800
308,5387144,313,0,0,307,1804800,309,1804800,310,1804800,311,1804800,312,1804800,313,1804800,315,1900800,316,1900800
410,5388152,413,0,0,408,1804800,410,1804800,411,1804800,412,1804800,413,1804800,414,1804800,414,1900800,415,1900800
509,5388656,512,0,0,508,1804800,509,1804800,510,1804800,511,1804800,512,1804800,513,1804800,514,1900800,514,1900800
610,5389412,615,0,0,608,1804800,610,1804800,612,1804800,613,1804800,614,1804800,616,1804800,617,1900800,618,1900800
710,5389916,714,0,0,709,1804800,710,1804800,711,1804800,712,1804800,713,1804800,714,1804800,715,1900800,715,1900800
811,5390672,816,0,0,809,1804800,811,1804800,812,1804800,814,1804800,815,1804800,816,1804800,817,1900800,818,1900800
912,5390924,916,0,0,910,1804800,912,1804800,914,1804800,915,1804800,916,1804800,917,1804800,918,1900800,919,1900800
1012,5392196,1017,0,0,1010,1804800,1013,1804800,1014,1804800,1015,1804800,1016,1804800,1017,1804800,1018,1900800,1018,1900800
1112,5392724,1116,0,0,1110,1804800,1112,1804800,1113,1804800,1114,1804800,1115,1804800,1116,1804800,1117,1900800,1117,1900800
1212,5394236,1216,0,0,1211,1708800,1213,1708800,1214,1708800,1215,1708800,1216,1804800,1217,1804800,1218,1248000,1218,1248000
1313,5395092,1318,0,0,1311,1248000,1314,1248000,1315,1248000,1316,1248000,1317,1248000,1319,1248000,1320,1248000,1321,1248000
1416,5395848,1422,0,0,1412,1324800,1416,1324800,1418,1324800,1419,1324800,1421,1248000,1422,1248000,1424,1248000,1425,1248000
1518,5396888,1533,0,0,1513,768000,1519,768000,1524,1017600,1527,1017600,1531,1017600,1535,1017600,1538,787200,1539,787200
1620,5397644,1629,0,0,1615,576000,1621,768000,1623,768000,1625,768000,1628,768000,1630,768000,1633,787200,1636,787200
1721,5398092,1736,0,0,1716,576000,1722,768000,1724,768000,1728,768000,1734,768000,1737,768000,1739,787200,1741,787200
1821,5398376,1830,0,0,1818,576000,1822,768000,1825,768000,1827,768000,1829,768000,1831,768000,1833,787200,1835,787200
1923,5399384,1940,0,0,1918,768000,1925,768000,1932,768000,1934,768000,1938,768000,1941,1248000,1943,787200,1945,787200
2026,5399888,2039,50398,48719,2021,576000,2027,576000,2031,576000,2034,576000,2037,576000,2040,1248000,2042,787200,2046,787200
2126,5400392,2140,50398,48719,2122,576000,2127,576000,2131,576000,2134,576000,2137,576000,2141,1248000,2144,787200,2145,787200
2226,5400896,2239,50398,48719,2222,768000,2226,768000,2231,768000,2234,768000,2236,768000,2240,1248000,2242,787200,2244,787200
2326,5401432,2333,50398,48719,2323,1017600,2327,1017600,2329,1017600,2331,1017600,2332,1017600,2334,1017600,2335,787200,2336,787200
2429,5402188,2441,50398,48719,2424,576000,2431,576000,2434,576000,2437,576000,2440,576000,2442,768000,2444,787200,2458,787200
2528,5403228,2540,0,0,2525,768000,2529,768000,2531,768000,2535,768000,2538,768000,2541,1017600,2542,787200,2544,787200
2630,5403732,2642,0,0,2627,576000,2631,576000,2634,576000,2637,576000,2639,576000,2643,576000,2645,787200,2648,787200
2734,5404520,2745,0,0,2728,576000,2736,576000,2739,576000,2741,576000,2743,576000,2745,576000,2748,787200,2750,787200
2830,5391296,2836,0,0,2828,1612800,2831,1612800,2832,1612800,2834,1612800,2835,1612800,2836,1612800,2837,787200,2838,787200
2933,5390052,2941,0,0,2929,576000,2934,576000,2936,576000,2938,576000,2940,768000,2941,768000,2943,787200,2944,787200
3034,5390148,3047,0,0,3030,576000,3034,576000,3037,576000,3042,576000,3046,576000,3048,576000,3050,787200,3053,787200
3135,5389964,3141,0,0,3131,1017600,3136,1017600,3137,1017600,3138,1017600,3139,1017600,3141,1017600,3142,787200,3144,787200
3235,5390972,3241,0,0,3231,1324800,3236,1324800,3238,1324800,3239,1324800,3240,1708800,3242,1708800,3243,787200,3245,787200
3338,5394564,3346,0,0,3334,576000,3339,576000,3341,1017600,3343,1017600,3345,1017600,3347,1017600,3349,787200,3351,787200
3436,5397840,3439,0,0,3434,1804800,3436,1804800,3437,1804800,3437,1804800,3438,1804800,3439,1804800,3439,787200,3440,1248000
3539,5403416,3549,0,0,3535,1017600,3540,1017600,3542,1017600,3545,1017600,3547,1017600,3549,1017600,3551,787200,3554,787200
3641,5404172,3649,0,0,3637,768000,3642,576000,3644,576000,3645,576000,3647,576000,3649,576000,3651,787200,3653,787200
3744,5404676,3759,0,0,3738,576000,3745,576000,3749,576000,3754,576000,3756,576000,3760,1248000,3762,787200,3763,787200
3844,5405432,3855,0,0,3839,768000,3845,576000,3847,576000,3851,576000,3853,576000,3855,576000,3858,787200,3860,787200
3945,5406408,3955,0,0,3941,768000,3947,768000,3949,768000,3952,768000,3954,768000,3956,768000,3958,787200,3961,787200
4046,5407164,4061,0,0,4042,576000,4047,576000,4051,576000,4053,576000,4058,576000,4062,1248000,4064,787200,4065,787200
