Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
23,5360352,26,0,0,5,1804800,23,1804800,24,1804800,24,1804800,25,1804800,26,1804800,26,2208000,27,2208000
107,5361108,111,0,0,105,1804800,107,1804800,108,1804800,109,1804800,110,1804800,111,1804800,112,2208000,112,2208000
207,5363124,210,0,0,206,1804800,207,1804800,208,1804800,209,1804800,210,1804800,211,1804800,211,2208000,212,2208000
308,5364384,311,0,0,306,1804800,308,1804800,309,1804800,310,1804800,311,1804800,312,1804800,313,1900800,314,1900800
408,5365644,412,0,0,407,1804800,409,1804800,410,1804800,411,1804800,412,1804800,413,1804800,414,1900800,414,1900800
509,5366432,513,0,0,507,1804800,510,1804800,511,1804800,512,1804800,513,1804800,514,1804800,514,1900800,515,1900800
609,5367188,614,0,0,607,1804800,609,1804800,610,1804800,611,1804800,612,1804800,614,1804800,615,1900800,616,1900800
710,5367692,715,0,0,708,1804800,711,1804800,712,1804800,713,1804800,714,1804800,715,1804800,716,1900800,717,1900800
811,5368700,817,0,0,809,1804800,811,1804800,813,1804800,815,1804800,816,1804800,817,1804800,818,1900800,819,1900800
910,5369204,916,0,0,909,1804800,911,1804800,913,1804800,914,1804800,915,1804800,916,1804800,917,1900800,918,1900800
1011,5370464,1014,0,0,1010,1804800,1011,1804800,1012,1804800,1013,1804800,1014,1804800,1014,1804800,1015,1900800,1016,1900800
1112,5372064,1115,0,0,1110,1804800,1112,1804800,1113,1804800,1114,1804800,1115,1804800,1116,1804800,1116,1900800,1117,1900800
1212,5372348,1216,0,0,1210,1804800,1212,1804800,1213,1804800,1214,1804800,1215,1804800,1216,1804800,1217,1900800,1217,1900800
1313,5373356,1318,0,0,1311,1248000,1314,1248000,1315,1248000,1316,1248000,1317,1248000,1318,1248000,1320,1248000,1321,1248000
1415,5374112,1421,0,0,1413,1248000,1416,1248000,1418,1248000,1419,1248000,1420,1248000,1422,1248000,1423,1248000,1424,1248000
1515,5374632,1521,0,0,1513,1248000,1516,1248000,1517,1248000,1519,1248000,1520,1248000,1521,1248000,1522,1248000,1523,1248000
1618,5374884,1628,0,0,1614,576000,1619,576000,1622,576000,1624,576000,1626,576000,1629,768000,1631,787200,1633,787200
1721,5375388,1733,0,0,1716,576000,1722,576000,1725,576000,1729,576000,1732,576000,1734,576000,1736,787200,1738,787200
1823,5375892,1839,0,0,1819,576000,1825,576000,1830,576000,1832,576000,1836,576000,1843,576000,1846,787200,1849,787200
1920,5378916,1924,0,0,1918,1804800,1920,1804800,1922,1804800,1923,1804800,1923,1804800,1924,1804800,1925,787200,1926,787200
2023,5378664,2034,0,0,2019,576000,2024,576000,2026,576000,2029,576000,2032,576000,2034,576000,2037,787200,2039,787200
2125,5378940,2134,0,0,2121,576000,2125,576000,2128,768000,2130,768000,2132,768000,2134,768000,2136,787200,2138,787200
2226,5380264,2236,0,0,2222,576000,2228,576000,2230,576000,2232,576000,2235,576000,2237,576000,2239,787200,2242,787200
2327,5380744,2334,0,0,2324,1017600,2328,1017600,2330,768000,2331,768000,2333,768000,2335,768000,2337,787200,2339,787200
2428,5380996,2438,0,0,2425,768000,2429,576000,2432,576000,2434,576000,2436,576000,2438,576000,2440,787200,2442,787200
2530,5381500,2545,0,0,2526,576000,2531,576000,2534,576000,2540,576000,2543,576000,2546,576000,2549,787200,2551,787200
2630,5371456,2639,33598,6245,2626,1017600,2631,1017600,2634,1017600,2636,1017600,2637,1017600,2641,1017600,2643,787200,2645,787200
2733,5369708,2752,33598,6245,2728,576000,2734,576000,2746,576000,2749,1248000,2751,1248000,2753,1248000,2755,787200,2756,787200
2831,5370188,2838,33598,6245,2828,1248000,2832,1248000,2834,1248000,2835,1248000,2837,1248000,2838,1248000,2839,787200,2840,787200
2935,5370188,2946,33598,6245,2929,576000,2936,576000,2939,576000,2942,576000,2944,576000,2947,576000,2949,787200,2951,787200
3035,5370724,3043,33598,6245,3030,1017600,3035,1017600,3038,1017600,3039,1017600,3042,1017600,3044,1017600,3046,787200,3047,787200
3135,5371260,3145,33598,6245,3131,576000,3136,576000,3139,576000,3141,576000,3143,576000,3146,576000,3149,787200,3150,787200
3238,5371848,3249,33598,6245,3233,576000,3238,576000,3242,576000,3245,576000,3248,768000,3250,768000,3252,787200,3254,787200
3337,5372620,3346,33598,6245,3334,1017600,3338,1017600,3341,1017600,3343,1017600,3345,1017600,3346,1017600,3348,787200,3349,787200
3440,5377156,3455,33598,6245,3435,768000,3441,768000,3447,768000,3449,1017600,3452,1017600,3457,1017600,3460,787200,3464,787200
3539,5377912,3548,33598,6245,3536,1017600,3540,1017600,3541,1017600,3543,1017600,3546,1017600,3549,1017600,3550,787200,3551,787200
3641,5378164,3650,33598,6245,3637,1017600,3642,1017600,3644,1017600,3646,1017600,3648,1248000,3652,1248000,3654,787200,3655,787200
3742,5378668,3751,33598,6245,3738,1017600,3743,1017600,3746,1017600,3748,1017600,3750,1017600,3752,1017600,3753,787200,3755,787200
3843,5379172,3852,16799,0,3839,1017600,3844,1017600,3846,1017600,3849,1017600,3851,1017600,3853,1017600,3855,787200,3856,787200
3944,5379928,3955,16799,0,3940,1017600,3945,1017600,3948,1017600,3952,1017600,3954,1017600,3956,1017600,3957,787200,3959,787200
4044,5381180,4052,16799,0,4041,1017600,4045,1017600,4047,1017600,4049,768000,4051,768000,4053,768000,4054,787200,4056,787200
4147,5381748,4158,16799,0,4142,768000,4148,768000,4151,768000,4154,768000,4156,768000,4158,768000,4161,787200,4162,787200
4246,5382504,4254,16799,0,4242,1017600,4247,1017600,4249,1017600,4252,1017600,4253,1017600,4255,1017600,4256,787200,4257,787200
4352,5383456,4361,16799,0,4349,1248000,4353,1248000,4355,1248000,4356,1248000,4360,1248000,4362,1248000,4365,787200,4366,787200
4456,5384212,4471,16799,0,4450,768000,4460,768000,4465,768000,4468,768000,4470,1804800,4472,1804800,4474,787200,4479,787200
4554,5384744,4560,16799,0,4550,1017600,4555,1017600,4557,1017600,4558,1017600,4559,1017600,4561,1017600,4562,787200,4563,787200
4655,5385216,4661,16799,0,4651,1017600,4655,1017600,4657,1017600,4658,1017600,4660,1017600,4661,1017600,4663,787200,4667,787200
4756,5386004,4766,16799,0,4752,768000,4757,768000,4760,768000,4762,768000,4764,768000,4767,768000,4769,787200,4771,787200
4858,5386508,4875,16799,0,4854,576000,4860,576000,4862,576000,4865,576000,4869,768000,4876,768000,4879,787200,4881,787200
4959,5387012,4970,16799,0,4955,768000,4960,768000,4964,768000,4966,768000,4968,1248000,4970,1248000,4972,787200,4973,787200
5060,5387516,5068,16799,0,5056,1017600,5061,1017600,5063,1017600,5065,1017600,5067,1017600,5068,1248000,5070,787200,5071,787200
5161,5388272,5171,16799,0,5157,768000,5162,768000,5165,768000,5168,1248000,5170,1248000,5171,1248000,5172,787200,5174,787200
5261,5389028,5270,16799,0,5258,1248000,5261,1248000,5263,1248000,5266,1248000,5268,1516800,5270,1516800,5271,787200,5272,787200
5362,5390264,5375,16799,0,5359,1248000,5364,1248000,5366,1248000,5369,1612800,5373,1612800,5376,1612800,5377,787200,5379,787200
5463,5390860,5471,16799,0,5460,768000,5464,768000,5466,768000,5468,1248000,5470,1248000,5471,1248000,5473,787200,5474,787200
5563,5391112,5571,16799,0,5560,1248000,5564,1248000,5565,1248000,5568,1324800,5569,1324800,5571,1324800,5573,787200,5575,787200
5665,5391900,5677,16799,0,5661,768000,5666,768000,5668,1017600,5673,1017600,5675,1017600,5677,1017600,5679,787200,5681,787200
5769,5392908,5776,16799,0,5763,768000,5769,1248000,5771,1248000,5773,1248000,5775,1248000,5776,1248000,5777,787200,5779,787200
5867,5393160,5876,16799,0,5863,576000,5869,1248000,5872,1248000,5873,1248000,5875,1248000,5877,1248000,5878,787200,5880,787200
5971,5393992,5985,16799,0,5965,576000,5974,768000,5978,768000,5981,768000,5983,768000,5985,768000,5987,787200,5989,787200
6070,5394496,6076,16799,0,6066,576000,6071,1248000,6072,1248000,6074,1248000,6075,1248000,6077,1248000,6078,787200,6079,787200
6171,5395284,6181,16799,0,6168,576000,6172,768000,6174,768000,6177,768000,6179,768000,6181,768000,6183,787200,6185,787200
6270,5373336,6274,16799,0,6268,1804800,6270,1804800,6271,1804800,6273,1804800,6273,1804800,6274,1804800,6275,1248000,6276,1248000
6372,5373228,6383,16799,0,6369,576000,6374,576000,6377,576000,6379,576000,6381,576000,6384,576000,6386,787200,6388,787200
6474,5373824,6487,16799,0,6470,576000,6475,576000,6477,576000,6480,576000,6485,576000,6488,576000,6489,787200,6490,787200
6575,5374100,6586,16799,0,6571,576000,6576,576000,6579,576000,6581,576000,6584,576000,6587,576000,6589,787200,6590,787200
6675,5374636,6684,16799,0,6671,768000,6676,768000,6679,768000,6681,768000,6683,768000,6684,768000,6686,787200,6688,787200
6777,5374864,6788,16799,0,6772,576000,6778,576000,6781,576000,6783,576000,6786,576000,6789,768000,6792,787200,6794,787200
6879,5374976,6886,16799,0,6876,768000,6880,768000,6882,768000,6884,768000,6885,768000,6887,768000,6888,787200,6890,787200
6981,5374976,6991,16799,0,6977,576000,6982,576000,6985,576000,6987,576000,6989,576000,6992,576000,6994,787200,6997,787200
7082,5375228,7092,0,0,7079,768000,7083,768000,7086,768000,7088,576000,7090,576000,7093,576000,7096,787200,7098,787200
7183,5375732,7192,0,0,7180,1017600,7184,1017600,7186,1017600,7188,768000,7190,768000,7193,768000,7195,787200,7197,787200
7285,5376236,7298,0,0,7281,576000,7286,576000,7289,576000,7292,576000,7296,576000,7299,576000,7301,787200,7303,787200
7392,5377244,7409,0,0,7385,576000,7393,1248000,7397,1248000,7401,1248000,7405,1248000,7410,1612800,7412,787200,7414,787200
