Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
61,5345064,65,0,0,59,1804800,62,1804800,63,1804800,64,1804800,65,1804800,65,1804800,66,2208000,67,2208000
160,5347048,164,0,0,159,1804800,161,1804800,162,1804800,162,1804800,163,1804800,164,1804800,165,2208000,166,2208000
261,5348332,264,0,0,259,1804800,261,1804800,262,1804800,262,1804800,263,1804800,264,1804800,265,1900800,266,1900800
361,5349320,364,256736,255057,360,1804800,361,1804800,362,1804800,363,1804800,364,1804800,365,1804800,366,1900800,366,1900800
462,5350076,465,256736,255057,460,1804800,462,1804800,463,1804800,464,1804800,465,1804800,466,1804800,467,1900800,467,1900800
562,5350832,566,256736,255057,560,1804800,562,1804800,563,1804800,564,1804800,565,1804800,566,1804800,567,1900800,568,1900800
663,5352092,666,256736,255057,661,1804800,663,1804800,664,1804800,665,1804800,665,1804800,666,1804800,667,1900800,667,1900800
763,5352756,766,256736,255057,761,1804800,763,1804800,764,1804800,764,1804800,765,1804800,766,1804800,767,1900800,768,1900800
864,5353260,868,256736,255057,862,1804800,864,1804800,865,1804800,866,1804800,867,1804800,868,1804800,869,1900800,870,1900800
964,5353100,968,256736,255057,962,1804800,964,1804800,965,1804800,966,1804800,967,1804800,968,1804800,969,1900800,969,1900800
1064,5354612,1069,256736,255057,1063,1804800,1064,1804800,1065,1804800,1066,1804800,1066,1804800,1069,1804800,1070,1900800,1071,1900800
1164,5355644,1169,256736,255057,1163,1804800,1165,1804800,1166,1804800,1167,1804800,1168,1804800,1169,1804800,1170,1900800,1171,1900800
1266,5356172,1271,256736,255057,1264,1248000,1267,1248000,1268,1248000,1269,1248000,1270,1248000,1271,1248000,1272,1248000,1273,1248000
1366,5356928,1372,67197,65518,1365,1248000,1367,1248000,1368,1248000,1369,1248000,1370,1248000,1372,1248000,1373,1248000,1374,1248000
1467,5357764,1472,67197,65518,1465,1248000,1468,1248000,1469,1248000,1470,1248000,1471,1248000,1473,1248000,1474,1248000,1476,1248000
1570,5357828,1585,67197,65518,1567,576000,1570,576000,1577,576000,1580,576000,1583,1248000,1586,1248000,1591,787200,1595,787200
1671,5357856,1680,67197,65518,1668,576000,1672,576000,1674,576000,1677,576000,1679,576000,1681,576000,1683,787200,1685,787200
1772,5358800,1779,67197,65518,1769,768000,1773,768000,1774,768000,1776,768000,1778,768000,1780,768000,1781,787200,1783,787200
1875,5359364,1886,0,0,1870,576000,1876,576000,1879,576000,1882,576000,1884,576000,1889,576000,1892,787200,1894,787200
1976,5360144,1986,0,0,1972,576000,1977,576000,1980,576000,1982,576000,1984,576000,1987,576000,1990,787200,1992,787200
2072,5350568,2075,0,0,2071,1804800,2073,1804800,2073,1804800,2074,1804800,2075,1804800,2075,1804800,2076,787200,2077,787200
2184,5350432,2191,0,0,2180,576000,2184,768000,2187,768000,2188,768000,2190,768000,2192,768000,2193,787200,2195,787200
2283,5350880,2289,0,0,2281,1017600,2284,1017600,2285,1017600,2287,1017600,2288,1017600,2289,1017600,2290,787200,2291,787200
2386,5350856,2399,0,0,2382,576000,2387,576000,2390,576000,2392,576000,2397,576000,2399,576000,2402,787200,2404,787200
2495,5351612,2506,0,0,2483,576000,2496,576000,2500,576000,2503,1248000,2505,1248000,2507,1248000,2508,787200,2509,787200
2586,5352656,2594,0,0,2583,1017600,2587,1017600,2588,1017600,2590,1017600,2592,1017600,2597,1017600,2600,787200,2603,787200
2689,5352656,2702,0,0,2684,576000,2691,576000,2695,576000,2698,576000,2700,576000,2703,576000,2704,787200,2706,787200
2788,5353444,2795,0,0,2785,1248000,2789,1248000,2791,1248000,2793,1248000,2795,1248000,2796,1248000,2797,787200,2798,787200
2890,5353948,2900,0,0,2886,576000,2891,576000,2894,576000,2896,576000,2898,576000,2900,576000,2902,787200,2904,787200
2992,5354452,3002,0,0,2987,576000,2993,576000,2996,576000,2998,576000,3000,576000,3003,768000,3006,787200,3008,787200
3091,5354744,3100,0,0,3088,768000,3092,768000,3095,768000,3097,768000,3099,768000,3101,768000,3103,787200,3104,787200
3192,5355248,3202,33598,31919,3189,768000,3193,768000,3196,768000,3199,768000,3201,768000,3203,768000,3206,787200,3208,787200
3294,5355524,3300,33598,31919,3290,1017600,3295,1017600,3296,1017600,3298,1017600,3299,1017600,3301,1017600,3302,787200,3304,787200
3395,5360792,3401,33598,31919,3391,1017600,3395,1017600,3397,1017600,3399,1017600,3400,1017600,3402,1017600,3403,787200,3404,787200
3497,5361320,3507,33598,31919,3493,1017600,3498,1017600,3501,1017600,3503,1017600,3505,1017600,3507,1017600,3509,787200,3511,787200
3599,5361660,3610,33598,31919,3594,768000,3600,768000,3603,768000,3605,768000,3608,768000,3611,768000,3613,787200,3616,787200
3698,5361936,3709,33598,31919,3695,1017600,3700,1017600,3703,768000,3705,768000,3707,768000,3709,768000,3712,787200,3715,787200
3799,5362440,3807,33598,31919,3795,1017600,3800,1017600,3802,1017600,3804,1017600,3806,1017600,3808,1017600,3809,787200,3811,787200
3900,5363220,3912,33598,31919,3896,768000,3901,768000,3904,576000,3907,576000,3910,576000,3913,576000,3916,787200,3918,787200
3999,5364100,4006,33598,31919,3996,1248000,4000,1248000,4002,1248000,4003,1017600,4005,1017600,4007,1017600,4008,787200,4009,787200
4101,5364856,4114,33598,31919,4097,1017600,4101,1017600,4105,576000,4109,576000,4112,576000,4115,576000,4119,787200,4121,787200
4202,5365360,4210,33598,31919,4198,768000,4203,1017600,4205,1017600,4208,1017600,4209,1017600,4211,1017600,4213,787200,4215,787200
4301,5366620,4308,33598,31919,4298,1804800,4302,1804800,4303,1708800,4305,1708800,4307,1708800,4309,1708800,4311,2208000,4312,2208000
4404,5367628,4413,33598,31919,4400,1017600,4405,1804800,4407,1804800,4409,1804800,4412,1804800,4414,1804800,4416,787200,4417,787200
4503,5368700,4515,16799,15120,4501,1017600,4503,1017600,4505,1248000,4510,1248000,4513,1248000,4516,1248000,4518,787200,4523,787200
4605,5369236,4618,16799,15120,4601,1017600,4606,768000,4608,768000,4612,768000,4616,768000,4618,768000,4622,787200,4625,787200
4705,5369992,4713,16799,15120,4702,1017600,4707,1017600,4709,1017600,4711,1017600,4712,1017600,4713,1017600,4715,787200,4716,787200
4809,5370772,4818,16799,15120,4806,768000,4810,768000,4813,768000,4815,768000,4817,768000,4819,768000,4821,787200,4823,787200
4910,5371276,4921,16799,15120,4907,768000,4911,768000,4914,768000,4916,768000,4919,768000,4922,768000,4924,787200,4925,787200
5013,5372000,5029,16799,15120,5009,576000,5014,576000,5021,576000,5025,768000,5027,768000,5029,768000,5031,787200,5033,787200
5115,5372700,5129,16799,15120,5111,576000,5116,576000,5121,576000,5125,768000,5128,768000,5130,768000,5132,787200,5133,787200
5215,5373204,5223,16799,15120,5212,1017600,5216,1017600,5218,1017600,5220,1017600,5222,1017600,5224,1017600,5225,787200,5227,787200
5316,5373960,5325,16799,15120,5312,768000,5317,768000,5319,768000,5321,768000,5323,768000,5326,768000,5328,787200,5330,787200
5418,5374968,5426,0,0,5415,1017600,5418,1017600,5420,1017600,5422,1017600,5425,1248000,5427,1248000,5428,787200,5429,787200
5517,5375220,5523,0,0,5514,1248000,5518,1248000,5520,1248000,5521,1248000,5522,1248000,5524,1324800,5525,787200,5527,787200
5621,5375724,5632,0,0,5616,768000,5622,768000,5625,768000,5629,768000,5631,768000,5632,768000,5635,787200,5637,787200
5719,5376228,5731,16799,15120,5716,1248000,5720,1248000,5722,1248000,5726,1248000,5729,1248000,5731,1248000,5733,787200,5735,787200
5819,5356628,5825,16799,15120,5817,1516800,5819,1516800,5821,1516800,5822,1516800,5824,1017600,5825,1017600,5827,787200,5828,787200
5922,5356376,5931,16799,15120,5918,576000,5923,768000,5925,768000,5927,768000,5929,768000,5932,768000,5935,787200,5937,787200
6023,5356896,6033,0,0,6019,576000,6024,768000,6027,768000,6029,768000,6032,768000,6034,768000,6036,787200,6039,787200
6125,5357652,6135,0,0,6121,576000,6126,768000,6128,768000,6131,768000,6133,768000,6136,768000,6139,787200,6140,787200
6225,5358060,6232,0,0,6222,1248000,6226,1248000,6229,1248000,6230,1248000,6231,1248000,6233,1248000,6235,787200,6237,787200
6327,5359068,6340,0,0,6324,768000,6328,768000,6330,768000,6336,768000,6339,768000,6341,768000,6343,787200,6344,787200
6428,5359572,6438,0,0,6424,768000,6428,768000,6431,768000,6433,768000,6436,768000,6438,768000,6441,787200,6443,787200
6531,5359700,6546,0,0,6525,576000,6533,576000,6536,576000,6539,576000,6542,576000,6548,1248000,6550,787200,6552,787200
