Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
79,5411556,85,0,0,36,1804800,80,1804800,81,1804800,83,1804800,84,1804800,85,1804800,86,2208000,88,2208000
138,5367960,143,0,0,136,1804800,139,1804800,140,1804800,141,1804800,142,1804800,144,1804800,145,2208000,146,2208000
238,5350660,241,50398,10080,237,1516800,239,1516800,239,1516800,240,1516800,241,1516800,242,1516800,242,787200,243,787200
341,5351284,351,50398,10080,338,1248000,342,1248000,344,1248000,346,1248000,349,1248000,351,1248000,353,1036800,355,1036800
441,5351536,447,50398,10080,439,1612800,442,1612800,443,1612800,445,1612800,446,1612800,448,1612800,449,787200,450,787200
543,5352040,549,50398,10080,540,1248000,544,1248000,545,1248000,547,1248000,548,1248000,549,1248000,551,787200,552,787200
642,5352568,648,50398,10080,640,1804800,642,1804800,643,1804800,645,1804800,647,1804800,648,1804800,649,787200,650,787200
743,5353072,746,50398,10080,741,1708800,743,1708800,744,1708800,745,1708800,746,1708800,747,1708800,748,787200,748,787200
847,5353080,858,50398,10080,843,576000,848,576000,851,576000,854,576000,856,576000,858,576000,861,787200,863,787200
951,5353836,962,50398,10080,945,576000,952,1248000,955,1248000,958,1248000,960,1248000,962,1248000,964,787200,965,787200
1048,5353884,1054,50398,10080,1045,1017600,1049,1017600,1050,1017600,1052,1248000,1053,1248000,1055,1248000,1056,787200,1058,787200
1150,5354648,1160,50398,10080,1146,576000,1151,576000,1153,576000,1156,576000,1158,576000,1161,576000,1164,787200,1166,787200
1253,5355428,1266,50398,10080,1249,768000,1253,768000,1258,768000,1261,768000,1264,768000,1267,768000,1269,787200,1270,787200
1360,5355852,1372,50398,10080,1357,1017600,1361,1017600,1363,1017600,1368,1017600,1370,1017600,1373,1324800,1374,787200,1376,787200
1453,5356356,1465,50398,10080,1450,576000,1454,768000,1458,768000,1461,768000,1464,768000,1466,768000,1468,787200,1470,787200
1556,5356908,1572,33598,0,1553,576000,1557,576000,1560,576000,1566,576000,1570,576000,1572,1248000,1574,787200,1576,787200
1657,5357664,1670,33598,0,1653,576000,1658,576000,1661,576000,1664,576000,1667,576000,1672,576000,1674,787200,1676,787200
1760,5356212,1780,33598,0,1756,576000,1761,576000,1770,576000,1775,1248000,1778,1248000,1781,1248000,1783,787200,1786,787200
1858,5357384,1864,33598,0,1855,1017600,1858,1017600,1860,1017600,1862,1017600,1863,1017600,1865,1017600,1866,787200,1868,787200
1960,5357692,1974,33598,0,1956,576000,1961,576000,1965,576000,1968,576000,1972,1248000,1975,1248000,1977,787200,1979,787200
2060,5358952,2069,33598,0,2057,1248000,2061,1248000,2063,1248000,2065,1248000,2067,1248000,2069,1248000,2071,787200,2073,787200
2163,5358732,2174,33598,0,2159,576000,2165,576000,2167,576000,2169,576000,2172,576000,2175,768000,2177,787200,2179,787200
2264,5359260,2274,33598,0,2261,576000,2265,576000,2268,576000,2270,576000,2273,1248000,2275,1248000,2277,787200,2278,787200
2366,5360300,2379,33598,0,2361,576000,2367,576000,2369,576000,2374,768000,2377,768000,2380,768000,2382,787200,2385,787200
2465,5361584,2476,33598,0,2463,768000,2466,768000,2470,768000,2473,1017600,2474,1017600,2477,1017600,2478,787200,2480,787200
2568,5362316,2577,33598,0,2564,576000,2569,576000,2573,1248000,2574,1248000,2576,1248000,2578,1248000,2581,787200,2582,787200
2667,5349424,2671,33598,0,2664,1708800,2667,1708800,2668,1708800,2669,1708800,2670,1708800,2671,1708800,2672,787200,2674,787200
2769,5349332,2778,33598,0,2765,576000,2769,576000,2772,576000,2774,576000,2776,576000,2778,576000,2781,787200,2783,787200
2869,5349584,2876,0,0,2866,1017600,2869,1017600,2871,1017600,2873,768000,2875,768000,2877,768000,2878,787200,2880,787200
2970,5350028,2982,0,0,2967,576000,2971,576000,2974,576000,2977,576000,2980,576000,2983,576000,2987,787200,2990,787200
