Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
21,5195952,24,0,0,4,1804800,21,1804800,22,1804800,23,1804800,23,1804800,24,1804800,25,2208000,25,2208000
106,5197212,110,0,0,104,1804800,106,1804800,107,1804800,109,1804800,110,1804800,111,1804800,112,2208000,112,2208000
208,5199228,214,0,0,205,1804800,208,1804800,210,1804800,211,1804800,213,1804800,214,1804800,216,2208000,218,2208000
306,5201560,310,0,0,305,1804800,307,1804800,308,1804800,309,1804800,310,1804800,311,1804800,311,1900800,312,1900800
408,5202284,412,0,0,406,1804800,408,1804800,410,1804800,411,1804800,411,1804800,412,1804800,413,1900800,414,1900800
508,5202788,513,0,0,506,1804800,509,1804800,510,1804800,511,1804800,512,1804800,513,1804800,514,1900800,514,1900800
609,5203292,614,0,0,607,1804800,610,1804800,611,1804800,612,1804800,613,1804800,614,1804800,615,1900800,616,1900800
710,5203796,715,0,0,708,1804800,711,1804800,712,1804800,713,1804800,714,1804800,715,1804800,716,1900800,717,1900800
810,5205056,812,0,0,808,1804800,810,1804800,811,1804800,811,1804800,812,1804800,813,1804800,813,1900800,814,1900800
910,5205560,914,0,0,909,1804800,911,1804800,912,1804800,913,1804800,913,1804800,914,1804800,915,1900800,916,1900800
1010,5206568,1013,0,0,1009,1804800,1010,1804800,1011,1804800,1012,1804800,1012,1804800,1013,1804800,1014,1900800,1014,1900800
1111,5207104,1114,0,0,1110,1804800,1111,1804800,1112,1804800,1112,1804800,1113,1804800,1114,1804800,1114,1900800,1115,1900800
1211,5207860,1215,0,0,1210,1804800,1212,1804800,1213,1804800,1213,1804800,1214,1804800,1215,1804800,1216,1900800,1217,1900800
1313,5209144,1317,0,0,1311,1248000,1313,1248000,1314,1248000,1315,1248000,1316,1248000,1318,1324800,1318,1248000,1319,1248000
1413,5209900,1418,0,0,1411,1248000,1414,1248000,1415,1248000,1416,1324800,1418,1324800,1419,1324800,1420,1248000,1421,1248000
1514,5201356,1518,0,0,1512,1248000,1514,1248000,1515,1248000,1516,1248000,1517,1324800,1518,1324800,1519,1248000,1520,1248000
1617,5201860,1626,0,0,1614,576000,1618,768000,1621,768000,1623,768000,1625,768000,1627,768000,1632,787200,1634,787200
1718,5202272,1732,0,0,1715,768000,1719,576000,1723,576000,1728,576000,1730,576000,1733,576000,1735,787200,1737,787200
1819,5202576,1832,0,0,1815,576000,1822,576000,1826,576000,1828,576000,1830,576000,1833,576000,1835,787200,1837,787200
1921,5202956,1938,0,0,1917,576000,1923,576000,1928,576000,1931,576000,1934,576000,1938,1248000,1940,787200,1942,787200
2021,5203964,2037,0,0,2017,576000,2023,576000,2027,576000,2031,576000,2034,576000,2038,768000,2040,787200,2042,787200
2121,5204452,2133,67197,67197,2118,576000,2122,576000,2126,576000,2129,576000,2131,576000,2134,576000,2136,787200,2138,787200
2225,5205272,2237,67197,67197,2219,1017600,2226,1017600,2228,1017600,2231,1017600,2235,1017600,2238,1248000,2239,787200,2241,787200
2324,5206028,2335,0,0,2320,576000,2325,576000,2328,576000,2330,576000,2333,576000,2335,576000,2338,787200,2339,787200
2424,5205936,2433,0,0,2421,1017600,2425,1017600,2426,1017600,2428,1017600,2432,1017600,2434,1017600,2435,787200,2437,787200
2526,5205936,2535,0,0,2522,576000,2527,576000,2530,576000,2532,576000,2533,576000,2535,576000,2538,787200,2540,787200
2627,5206820,2634,0,0,2623,576000,2628,576000,2630,576000,2631,576000,2633,576000,2635,576000,2637,787200,2638,787200
2732,5207576,2747,0,0,2728,576000,2733,576000,2736,576000,2739,576000,2745,576000,2747,576000,2750,787200,2752,787200
2835,5208080,2844,0,0,2829,576000,2836,576000,2839,576000,2841,576000,2843,576000,2845,576000,2850,787200,2854,787200
2935,5208080,2953,0,0,2931,576000,2936,576000,2939,576000,2943,576000,2951,576000,2954,576000,2957,787200,2959,787200
3035,5208836,3045,0,0,3032,768000,3036,768000,3039,576000,3042,576000,3044,576000,3046,576000,3049,787200,3050,787200
3136,5209364,3144,0,0,3133,1017600,3137,768000,3139,768000,3141,768000,3143,768000,3144,768000,3146,787200,3147,787200
3236,5209616,3245,0,0,3234,1248000,3237,1017600,3239,1017600,3241,1017600,3244,1017600,3246,1017600,3247,787200,3249,787200
3338,5210120,3346,0,0,3334,1017600,3338,576000,3340,576000,3342,576000,3344,576000,3347,576000,3349,787200,3351,787200
3440,5210940,3451,0,0,3436,576000,3441,576000,3443,576000,3446,576000,3449,576000,3452,576000,3455,787200,3457,787200
3540,5215728,3549,0,0,3537,1612800,3541,1017600,3543,1017600,3546,1017600,3548,1017600,3550,1017600,3552,787200,3554,787200
3641,5216484,3649,0,0,3638,1017600,3642,1017600,3645,1017600,3646,1017600,3648,1017600,3650,1017600,3651,787200,3652,787200
3742,5216760,3751,0,0,3739,768000,3743,768000,3746,768000,3747,768000,3750,768000,3751,768000,3753,787200,3755,787200
3843,5217492,3851,16799,16799,3840,1017600,3844,1017600,3846,1017600,3847,1017600,3849,1017600,3851,1017600,3853,787200,3855,787200
3950,5217996,3962,16799,16799,3943,576000,3951,576000,3955,576000,3957,768000,3959,768000,3963,768000,3965,787200,3966,787200
4047,5218500,4056,16799,16799,4043,768000,4048,768000,4051,768000,4053,768000,4054,768000,4057,768000,4059,787200,4062,787200
4149,5219036,4161,16799,16799,4144,576000,4151,576000,4154,576000,4156,576000,4159,576000,4161,576000,4164,787200,4166,787200
4249,5219792,4256,16799,16799,4245,1017600,4250,1017600,4252,1017600,4253,1017600,4254,1017600,4258,1248000,4260,787200,4262,787200
4348,5221272,4358,16799,16799,4346,1804800,4349,1804800,4352,1804800,4355,1804800,4357,1804800,4358,1804800,4362,2208000,4364,2208000
4449,5222564,4452,16799,16799,4446,1804800,4449,1804800,4450,1804800,4451,1804800,4452,1804800,4453,1804800,4453,787200,4454,787200
4552,5223352,4569,16799,16799,4548,576000,4553,576000,4557,576000,4564,576000,4567,576000,4570,576000,4573,787200,4577,787200
4652,5224108,4660,16799,16799,4648,1017600,4653,1017600,4654,1017600,4656,1017600,4659,1017600,4661,1017600,4662,787200,4664,787200
4757,5224864,4768,16799,16799,4751,768000,4758,768000,4761,768000,4763,768000,4766,768000,4769,768000,4772,787200,4774,787200
4855,5225336,4862,16799,16799,4852,1017600,4856,1017600,4858,1248000,4860,1248000,4861,1248000,4863,1248000,4865,787200,4866,787200
4956,5226092,4970,16799,16799,4953,768000,4958,768000,4963,768000,4966,768000,4968,768000,4971,768000,4974,787200,4976,787200
5059,5226596,5067,16799,16799,5054,1017600,5060,1017600,5063,1017600,5064,1017600,5066,1017600,5068,1017600,5073,787200,5076,787200
5157,5227384,5165,16799,16799,5154,1248000,5158,1248000,5159,1248000,5163,1248000,5164,1248000,5165,1248000,5168,787200,5169,787200
5260,5228004,5269,16799,16799,5256,768000,5261,768000,5263,768000,5265,768000,5267,768000,5269,768000,5271,787200,5274,787200
5362,5228256,5372,16799,16799,5359,768000,5363,768000,5365,768000,5367,768000,5370,768000,5372,768000,5374,787200,5376,787200
5459,5207340,5464,16799,16799,5457,1516800,5460,1516800,5461,1516800,5462,1516800,5463,1516800,5464,1516800,5466,787200,5467,787200
5561,5208536,5569,16799,16799,5558,1017600,5562,1017600,5564,1017600,5566,1017600,5567,1017600,5569,1017600,5570,787200,5572,787200
5663,5208816,5673,16799,16799,5659,768000,5663,768000,5666,768000,5669,768000,5671,768000,5674,768000,5676,787200,5678,787200
5762,5208848,5767,16799,16799,5759,1248000,5763,1248000,5764,1248000,5765,1248000,5766,1248000,5768,1248000,5769,787200,5769,787200
5866,5209352,5880,16799,16799,5862,768000,5868,768000,5871,768000,5874,768000,5878,1248000,5880,1248000,5882,787200,5884,787200
5973,5209376,5987,16799,16799,5965,576000,5974,576000,5978,1248000,5983,1248000,5984,1248000,5987,1248000,5989,787200,5990,787200
6067,5210028,6076,16799,16799,6063,768000,6068,768000,6070,768000,6073,768000,6074,768000,6076,768000,6078,787200,6080,787200
6172,5211036,6182,16799,16799,6166,768000,6173,768000,6176,768000,6178,1248000,6180,1248000,6182,1248000,6183,787200,6184,787200
6269,5210776,6278,16799,16799,6265,1017600,6270,1017600,6273,1017600,6274,1017600,6276,1017600,6278,1248000,6280,787200,6282,787200
6370,5210996,6381,16799,16799,6366,576000,6371,576000,6374,576000,6376,576000,6379,1248000,6382,1248000,6384,787200,6386,787200
6471,5210996,6482,16799,16799,6467,576000,6472,576000,6475,576000,6478,768000,6480,768000,6483,768000,6485,787200,6487,787200
6573,5211508,6583,16799,16799,6568,576000,6574,576000,6578,1248000,6580,1248000,6581,1248000,6583,1248000,6585,787200,6587,787200
6676,5212296,6686,16799,16799,6670,576000,6677,768000,6679,768000,6682,768000,6684,768000,6686,768000,6689,787200,6691,787200
6775,5212800,6784,16799,16799,6770,576000,6775,576000,6778,768000,6781,768000,6783,768000,6785,768000,6787,787200,6789,787200
6876,5213052,6887,16799,16799,6872,576000,6877,576000,6879,576000,6883,576000,6886,576000,6888,576000,6891,787200,6893,787200
6979,5213808,6994,16799,16799,6975,576000,6980,576000,6983,576000,6986,576000,6989,576000,6995,576000,6998,787200,6999,787200
7082,5214408,7098,16799,16799,7077,576000,7083,576000,7086,576000,7092,576000,7095,576000,7098,1248000,7100,787200,7102,787200
7184,5215416,7198,16799,16799,7179,576000,7185,576000,7190,576000,7193,576000,7197,1248000,7199,1248000,7202,787200,7205,787200
7284,5215952,7297,16799,16799,7278,576000,7285,576000,7288,576000,7292,576000,7295,576000,7298,1248000,7301,787200,7303,787200
7384,5216456,7401,16799,16799,7379,576000,7386,576000,7389,576000,7394,576000,7397,1248000,7401,1248000,7404,787200,7406,787200
7485,5217796,7494,16799,16799,7481,1248000,7485,1248000,7488,1248000,7490,1248000,7492,1248000,7495,1248000,7497,787200,7498,787200
7586,5218048,7596,0,0,7582,576000,7586,576000,7588,576000,7592,576000,7595,576000,7597,576000,7599,787200,7601,787200
7687,5218048,7700,0,0,7683,576000,7688,576000,7690,576000,7694,576000,7698,576000,7701,576000,7706,787200,7709,787200
7788,5218504,7801,16799,16799,7784,1017600,7790,1017600,7794,1017600,7796,1017600,7798,1017600,7801,1017600,7804,787200,7805,787200
7891,5219228,7901,16799,16799,7885,576000,7892,576000,7895,576000,7898,768000,7900,768000,7902,768000,7905,787200,7909,787200
7991,5219732,8003,16799,16799,7986,576000,7993,576000,7995,576000,7998,576000,8000,576000,8003,576000,8006,787200,8009,787200
8090,5220784,8097,0,0,8086,1516800,8091,1516800,8094,1516800,8095,1516800,8096,1516800,8097,1248000,8098,787200,8099,787200
8191,5220784,8202,0,0,8187,768000,8193,768000,8196,768000,8199,768000,8201,768000,8203,768000,8205,787200,8207,787200
8293,5221004,8301,0,0,8288,1017600,8294,1017600,8296,1017600,8298,1017600,8299,1017600,8301,1017600,8303,787200,8304,787200
8394,5221824,8401,0,0,8389,576000,8394,576000,8397,576000,8398,576000,8400,576000,8402,576000,8404,787200,8406,787200
8443,5222328,8454,0,0,8439,576000,8445,576000,8448,576000,8450,576000,8453,576000,8455,576000,8458,787200,8459,787200
8543,5222832,8559,0,0,8540,576000,8544,576000,8546,576000,8551,576000,8556,576000,8560,1248000,8563,787200,8564,787200
8647,5223556,8657,0,0,8643,576000,8648,576000,8650,576000,8653,576000,8655,576000,8658,1248000,8659,787200,8661,787200
8747,5224596,8758,0,0,8744,768000,8748,768000,8751,768000,8754,768000,8757,768000,8759,1017600,8761,787200,8762,787200
8849,5225352,8864,0,0,8845,576000,8850,576000,8855,576000,8860,576000,8863,576000,8866,576000,8870,787200,8872,787200
8950,5225856,8963,0,0,8946,576000,8951,576000,8956,576000,8959,768000,8961,768000,8963,768000,8966,787200,8968,787200
9050,5226360,9061,0,0,9047,576000,9052,576000,9055,576000,9057,768000,9059,768000,9062,768000,9064,787200,9066,787200
9150,5227620,9163,16799,16799,9147,1708800,9151,1708800,9153,1708800,9155,1708800,9161,1804800,9163,1516800,9164,1248000,9166,1248000
9257,5205464,9269,16799,16799,9250,576000,9258,768000,9262,768000,9265,768000,9267,768000,9270,768000,9273,787200,9275,787200
9352,5206472,9359,0,0,9349,1017600,9352,1017600,9354,1017600,9356,1017600,9358,1248000,9359,1248000,9360,787200,9365,787200
9455,5206724,9467,0,0,9450,576000,9458,576000,9462,576000,9464,576000,9466,576000,9469,576000,9472,787200,9474,787200
9555,5206692,9563,0,0,9551,1017600,9556,1017600,9558,768000,9560,768000,9562,768000,9564,768000,9566,787200,9568,787200
9657,5207524,9670,0,0,9652,576000,9658,576000,9661,576000,9664,576000,9667,576000,9671,576000,9675,787200,9678,787200
9758,5207776,9770,0,0,9754,576000,9759,576000,9762,576000,9766,576000,9768,576000,9770,576000,9773,787200,9776,787200
9859,5208532,9869,0,0,9855,576000,9860,576000,9863,576000,9866,576000,9868,576000,9870,576000,9873,787200,9876,787200
9959,5209540,9970,0,0,9955,576000,9960,576000,9962,576000,9966,576000,9969,576000,9971,576000,9973,787200,9975,787200
10060,5210020,10072,0,0,10056,768000,10062,576000,10065,576000,10067,576000,10070,576000,10073,576000,10075,787200,10077,787200
10161,5210524,10167,0,0,10158,768000,10162,768000,10163,768000,10165,768000,10166,768000,10168,768000,10169,787200,10171,787200
10263,5211028,10273,0,0,10259,768000,10265,768000,10267,768000,10269,768000,10271,768000,10274,768000,10276,787200,10278,787200
10364,5211588,10372,0,0,10360,576000,10365,576000,10367,576000,10369,576000,10371,576000,10372,576000,10374,787200,10376,787200
10465,5212408,10477,0,0,10461,576000,10466,576000,10468,576000,10473,576000,10475,576000,10478,768000,10479,787200,10481,787200
10566,5212912,10576,16799,16799,10562,768000,10567,768000,10570,768000,10572,768000,10575,768000,10577,768000,10579,787200,10582,787200
10668,5213416,10680,16799,16799,10663,768000,10669,768000,10672,768000,10676,768000,10679,1017600,10681,1017600,10682,787200,10684,787200
10768,5214196,10778,16799,16799,10765,768000,10769,768000,10772,768000,10774,768000,10776,768000,10778,1017600,10780,787200,10781,787200
10869,5214724,10879,16799,16799,10865,1017600,10870,1017600,10873,1017600,10875,1017600,10878,1017600,10880,1017600,10882,787200,10883,787200
10970,5215252,10979,16799,16799,10966,576000,10970,576000,10973,576000,10975,576000,10977,576000,10980,576000,10982,787200,10985,787200
11072,5215472,11084,16799,16799,11067,576000,11073,576000,11076,576000,11079,576000,11082,576000,11085,576000,11087,787200,11091,787200
