Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
20,5378084,23,0,0,5,1804800,20,1804800,21,1804800,21,1804800,22,1804800,23,1804800,24,2208000,24,2208000
106,5378336,109,0,0,105,1804800,106,1804800,107,1804800,108,1804800,108,1804800,109,1804800,110,2208000,110,2208000
207,5379344,210,0,0,205,1804800,207,1804800,208,1804800,208,1804800,209,1804800,210,1804800,211,2208000,211,2208000
308,5380604,312,0,0,306,1804800,308,1804800,310,1804800,310,1804800,311,1804800,312,1804800,313,787200,313,787200
411,5381132,423,0,0,407,576000,412,576000,416,576000,419,576000,421,576000,423,576000,426,787200,428,787200
510,5381156,515,0,0,508,1248000,511,1248000,512,1248000,513,1248000,514,1248000,515,1248000,517,787200,518,787200
615,5381896,624,0,0,611,576000,616,576000,618,576000,621,576000,623,576000,625,576000,627,787200,630,787200
714,5382148,724,0,0,710,576000,715,576000,717,576000,720,576000,722,576000,724,576000,727,787200,729,787200
814,5382148,825,0,0,810,576000,815,576000,818,576000,820,576000,823,576000,826,576000,828,787200,830,787200
914,5383156,921,0,0,911,1017600,915,1017600,917,1017600,918,1017600,920,1017600,921,1017600,922,787200,924,787200
1017,5383536,1030,0,0,1012,576000,1019,576000,1022,576000,1025,576000,1028,576000,1031,576000,1034,787200,1037,787200
1118,5383536,1127,0,0,1114,576000,1119,576000,1121,576000,1123,576000,1125,576000,1128,576000,1130,787200,1132,787200
1220,5383536,1232,0,0,1215,576000,1221,576000,1224,576000,1227,576000,1230,576000,1233,576000,1236,787200,1244,787200
1323,5384092,1336,0,0,1317,576000,1324,576000,1328,576000,1331,576000,1334,576000,1337,576000,1340,787200,1342,787200
1421,5384092,1432,0,0,1417,576000,1422,576000,1425,576000,1428,576000,1430,576000,1433,576000,1435,787200,1438,787200
1522,5384116,1533,0,0,1518,576000,1523,576000,1526,576000,1529,576000,1532,576000,1534,576000,1537,787200,1539,787200
1624,5384344,1633,0,0,1620,576000,1625,576000,1628,576000,1630,576000,1632,576000,1634,576000,1637,787200,1639,787200
1725,5384880,1734,0,0,1721,576000,1726,576000,1728,576000,1730,576000,1733,576000,1735,576000,1738,787200,1740,787200
1826,5384880,1835,0,0,1822,576000,1827,576000,1829,576000,1831,576000,1833,576000,1835,576000,1838,787200,1840,787200
1927,5384880,1936,0,0,1923,576000,1928,576000,1930,576000,1932,576000,1934,576000,1936,576000,1938,787200,1940,787200
