Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
21,5374936,24,0,0,5,1804800,22,1804800,22,1804800,23,1804800,24,1804800,24,1804800,25,2208000,26,2208000
106,5375692,111,0,0,105,1804800,107,1804800,108,1804800,109,1804800,110,1804800,111,1804800,112,2208000,116,2208000
207,5377456,212,0,0,205,1804800,207,1804800,209,1804800,210,1804800,211,1804800,212,1804800,213,2208000,214,2208000
307,5378992,311,0,0,306,1804800,308,1804800,309,1804800,309,1804800,310,1804800,311,1804800,312,2208000,313,2208000
408,5383780,411,0,0,406,1804800,408,1804800,409,1804800,410,1804800,410,1804800,411,1804800,412,1900800,412,1900800
509,5384296,514,0,0,507,1804800,509,1804800,510,1804800,512,1804800,513,1804800,514,1804800,515,1900800,516,1900800
609,5385084,613,0,0,608,1804800,609,1804800,610,1804800,611,1804800,612,1804800,613,1804800,613,1900800,614,1900800
710,5386172,714,0,0,708,1804800,710,1804800,711,1804800,712,1804800,713,1804800,714,1804800,714,1900800,715,1900800
809,5386952,813,0,0,808,1804800,810,1804800,810,1804800,811,1804800,812,1804800,813,1804800,814,1900800,814,1900800
910,5387456,914,0,0,909,1804800,911,1804800,913,1804800,913,1804800,914,1804800,915,1804800,916,1900800,917,1900800
1012,5388504,1017,0,0,1009,1804800,1012,1804800,1014,1804800,1015,1804800,1016,1804800,1017,1804800,1018,1900800,1018,1900800
1111,5388780,1114,0,0,1110,1804800,1111,1804800,1112,1804800,1113,1804800,1113,1804800,1114,1804800,1115,1900800,1116,1900800
1212,5389032,1217,0,0,1210,1804800,1213,1804800,1214,1804800,1215,1804800,1216,1804800,1217,1804800,1218,1900800,1218,1900800
1312,5390040,1316,0,0,1311,1804800,1312,1804800,1313,1804800,1314,1804800,1315,1804800,1316,1804800,1317,1900800,1318,1900800
1414,5390292,1420,0,0,1412,1248000,1414,1248000,1416,1248000,1418,1248000,1419,1248000,1420,1248000,1421,1248000,1422,1248000
1513,5391096,1517,0,0,1512,1248000,1514,1248000,1515,1248000,1516,1248000,1517,1248000,1518,1248000,1519,1248000,1520,1248000
1615,5391324,1620,0,0,1613,1248000,1615,1248000,1617,1248000,1618,1248000,1619,1248000,1620,1248000,1621,1248000,1622,1248000
1718,5392356,1728,0,0,1714,576000,1719,576000,1722,576000,1724,576000,1727,576000,1729,576000,1731,787200,1733,787200
1819,5392860,1830,0,0,1815,576000,1820,576000,1822,576000,1824,576000,1827,576000,1831,576000,1833,787200,1834,787200
1919,5393364,1934,0,0,1916,576000,1920,576000,1922,576000,1930,576000,1932,576000,1935,576000,1937,787200,1939,787200
2020,5393924,2033,67197,67197,2016,768000,2021,576000,2024,576000,2027,576000,2030,576000,2034,576000,2037,787200,2040,787200
2120,5394300,2130,67197,67197,2117,1017600,2121,768000,2125,768000,2127,768000,2129,768000,2131,768000,2134,787200,2136,787200
2222,5395308,2231,67197,67197,2218,1017600,2222,576000,2225,576000,2227,576000,2229,576000,2232,576000,2233,787200,2235,787200
