Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
74,5329936,77,0,0,72,1804800,74,1804800,75,1804800,76,1804800,77,1804800,77,1804800,78,2208000,79,2208000
174,5330944,177,0,0,173,1804800,174,1804800,175,1804800,176,1804800,177,1804800,178,1804800,178,2208000,179,2208000
275,5331952,280,0,0,273,1804800,276,1804800,277,1804800,278,1804800,279,1804800,280,1804800,281,2208000,282,2208000
375,5331664,378,0,0,374,1804800,375,1804800,376,1804800,377,1804800,377,1804800,378,1804800,379,2208000,380,2208000
476,5333932,482,0,0,474,1804800,476,1804800,478,1804800,480,1804800,480,1804800,483,1804800,485,2208000,486,2208000
576,5335660,581,0,0,575,1804800,577,1804800,579,1804800,580,1804800,581,1804800,582,1804800,583,787200,584,787200
678,5336400,684,0,0,675,1248000,678,1248000,679,1248000,680,1248000,682,1248000,684,1612800,686,787200,687,787200
781,5336936,798,0,0,777,768000,782,768000,785,768000,788,768000,794,768000,799,768000,802,787200,805,787200
880,5337944,888,0,0,878,576000,881,576000,883,576000,884,576000,886,576000,888,576000,890,1401600,892,1401600
981,5339456,987,0,0,978,1017600,982,1017600,983,1017600,985,1017600,986,1017600,988,1017600,991,787200,992,787200
1084,5343488,1096,0,0,1080,768000,1085,576000,1090,576000,1092,576000,1094,576000,1097,576000,1100,787200,1103,787200
1187,5343740,1199,0,0,1181,576000,1188,576000,1191,576000,1194,576000,1196,576000,1200,576000,1203,787200,1204,787200
1284,5344256,1293,0,0,1281,576000,1285,576000,1287,576000,1289,576000,1291,576000,1293,576000,1296,787200,1298,787200
1390,5344256,1403,0,0,1384,576000,1391,576000,1395,576000,1398,576000,1401,576000,1403,1248000,1405,787200,1406,787200
1489,5344508,1503,0,0,1484,576000,1491,576000,1494,576000,1499,576000,1502,1248000,1504,1248000,1506,787200,1509,787200
1594,5344556,1606,0,0,1586,576000,1595,576000,1599,576000,1602,1248000,1605,1248000,1607,1248000,1608,787200,1610,787200
1692,5344328,1704,0,0,1687,576000,1693,576000,1697,576000,1700,576000,1703,768000,1706,768000,1708,787200,1711,787200
1794,5344612,1804,0,0,1789,576000,1795,576000,1797,576000,1799,576000,1802,1248000,1805,1248000,1807,787200,1808,787200
1894,5344888,1903,0,0,1890,576000,1895,576000,1898,576000,1900,576000,1902,576000,1904,576000,1906,787200,1908,787200
2000,5344888,2010,0,0,1994,576000,2000,576000,2003,576000,2006,576000,2009,576000,2012,576000,2015,787200,2018,787200
2102,5345188,2115,0,0,2095,576000,2103,576000,2106,576000,2109,576000,2113,576000,2116,576000,2119,787200,2122,787200
2205,5345440,2218,0,0,2199,576000,2207,576000,2210,576000,2212,576000,2215,576000,2219,576000,2223,787200,2225,787200
