Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
21,5328908,25,0,0,4,1804800,21,1804800,22,1804800,23,1804800,24,1804800,25,1804800,26,2208000,27,2208000
106,5330068,112,0,0,104,1804800,106,1804800,108,1804800,109,1804800,110,1804800,112,1804800,114,2208000,115,2208000
206,5333524,213,0,0,205,1804800,207,1804800,209,1804800,210,1804800,212,1804800,214,1804800,216,2208000,217,2208000
307,5336668,312,0,0,305,1804800,308,1804800,309,1804800,310,1804800,311,1804800,312,1804800,313,787200,314,787200
412,5337936,425,0,0,407,576000,413,576000,417,576000,419,576000,422,576000,426,576000,430,787200,433,787200
510,5338220,518,0,0,508,1248000,511,1248000,513,1248000,515,1248000,517,1612800,518,1612800,520,787200,521,787200
614,5338364,626,0,0,610,768000,615,768000,618,768000,621,768000,624,768000,627,768000,630,787200,632,787200
713,5338836,718,0,0,710,1804800,714,1804800,715,1804800,716,1248000,718,1248000,719,1248000,720,979200,722,979200
814,5339436,819,0,0,811,1516800,815,1516800,816,1804800,817,1804800,818,1804800,820,1804800,821,787200,822,787200
917,5340044,926,0,0,912,1612800,918,1017600,921,1017600,922,1017600,924,1017600,926,1017600,928,787200,932,787200
1017,5340248,1023,0,0,1013,1248000,1017,1612800,1020,1612800,1021,1612800,1022,1612800,1024,1612800,1025,787200,1026,787200
1120,5340080,1133,0,0,1115,576000,1121,576000,1125,576000,1128,576000,1130,576000,1134,576000,1137,787200,1138,787200
1222,5340648,1236,0,0,1217,768000,1224,768000,1228,768000,1231,768000,1234,768000,1237,1248000,1241,787200,1243,787200
1325,5341024,1340,0,0,1318,576000,1326,576000,1332,576000,1336,1248000,1338,1248000,1341,1248000,1343,787200,1344,787200
1425,5342632,1435,0,0,1419,1708800,1426,1708800,1429,1708800,1433,1708800,1434,1708800,1435,1804800,1437,787200,1438,787200
1526,5343000,1540,0,0,1521,576000,1527,576000,1531,576000,1534,576000,1537,576000,1541,576000,1544,787200,1548,787200
1626,5343016,1641,0,0,1622,576000,1627,576000,1631,576000,1635,576000,1638,768000,1642,768000,1645,787200,1651,787200
1727,5340820,1734,0,0,1724,1516800,1728,1516800,1730,1516800,1731,1516800,1733,1516800,1735,1516800,1736,787200,1737,787200
1831,5341972,1842,0,0,1828,1248000,1833,1248000,1835,1248000,1837,1516800,1840,1516800,1842,1516800,1845,787200,1846,787200
1928,5343336,1933,0,0,1926,1804800,1929,1804800,1930,1804800,1931,1804800,1933,1804800,1934,1804800,1935,787200,1936,787200
2029,5345136,2034,0,0,2027,1708800,2030,1708800,2031,1708800,2032,1708800,2033,1708800,2034,1708800,2037,787200,2038,787200
2130,5349688,2135,0,0,2128,1804800,2131,1804800,2132,1804800,2133,1804800,2134,1804800,2135,1804800,2137,787200,2138,787200
2232,5347400,2242,0,0,2229,1516800,2234,1516800,2236,1804800,2239,1804800,2241,1804800,2243,1804800,2245,787200,2247,787200
2331,5349676,2337,0,0,2330,1804800,2332,1804800,2333,1804800,2335,1804800,2336,1804800,2337,1804800,2339,787200,2340,787200
2434,5350904,2444,0,0,2430,1248000,2434,1248000,2437,576000,2440,576000,2442,576000,2445,576000,2448,787200,2450,787200
2537,5350904,2546,0,0,2532,1516800,2537,1017600,2540,1017600,2542,1017600,2544,1017600,2546,1017600,2549,787200,2551,787200
2638,5351440,2655,0,0,2632,576000,2640,576000,2644,576000,2649,576000,2653,576000,2657,1248000,2660,787200,2663,787200
2734,5352768,2741,0,0,2732,1804800,2735,1804800,2737,1708800,2738,1708800,2740,1708800,2742,1708800,2745,1036800,2747,1036800
2839,5353752,2858,0,0,2834,576000,2841,576000,2845,576000,2850,576000,2856,1248000,2859,1248000,2862,787200,2865,787200
2939,5354292,2954,0,0,2936,1248000,2940,1248000,2942,1248000,2946,1248000,2951,1248000,2955,1248000,2958,787200,2961,787200
3041,5354480,3055,0,0,3037,768000,3042,768000,3047,768000,3050,768000,3053,768000,3056,1248000,3058,787200,3059,787200
3146,5355100,3161,0,0,3138,576000,3148,576000,3151,576000,3157,1248000,3160,1248000,3162,1248000,3163,787200,3165,787200
3243,5355764,3250,0,0,3239,1248000,3244,1248000,3246,1248000,3248,1248000,3249,1248000,3251,1248000,3253,787200,3254,787200
3342,5353128,3349,0,0,3339,1804800,3342,1804800,3344,1804800,3345,1804800,3348,1804800,3349,1804800,3350,2208000,3352,2208000
3443,5350452,3449,0,0,3441,1804800,3444,1804800,3445,1804800,3446,1804800,3448,1804800,3449,1804800,3450,787200,3451,787200
3543,5348396,3550,0,0,3541,1804800,3544,1804800,3545,1804800,3547,1804800,3548,1804800,3550,1804800,3552,787200,3553,787200
3644,5349952,3649,0,0,3643,1804800,3645,1804800,3646,1804800,3647,1804800,3648,1804800,3650,1804800,3651,787200,3652,787200
3745,5353292,3754,0,0,3743,1804800,3746,1804800,3748,1804800,3750,1804800,3752,1804800,3755,1804800,3757,787200,3758,787200
3848,5362144,3861,0,0,3844,1804800,3850,1804800,3853,1804800,3856,1804800,3858,1804800,3862,1804800,3864,787200,3868,787200
3946,5368464,3948,0,0,3945,1804800,3946,1804800,3947,1804800,3947,1804800,3948,1804800,3948,1804800,3949,2208000,3949,2208000
4048,5381040,4053,0,0,4046,1804800,4048,1804800,4049,1804800,4051,1804800,4052,1804800,4053,1804800,4054,787200,4055,787200
4148,5410588,4154,0,0,4146,1804800,4149,1804800,4150,1804800,4151,1804800,4153,1804800,4154,1804800,4156,787200,4158,787200
4249,5456744,4263,0,0,4247,1804800,4249,1804800,4252,1804800,4255,1804800,4258,1804800,4264,1804800,4266,979200,4270,979200
4350,5458576,4355,0,0,4348,1804800,4350,1804800,4352,1804800,4353,1804800,4354,1804800,4355,1804800,4356,787200,4357,787200
4450,5461272,4455,0,0,4448,1804800,4450,1804800,4452,1804800,4453,1804800,4454,1804800,4456,1804800,4457,2208000,4457,2208000
4551,5461736,4556,0,0,4549,1804800,4551,1804800,4552,1804800,4553,1804800,4554,1804800,4556,1804800,4557,787200,4558,787200
4657,5460548,4670,0,0,4651,1804800,4659,1804800,4664,1804800,4667,1804800,4669,1804800,4671,1804800,4674,787200,4675,787200
4752,5456456,4760,0,0,4750,1804800,4753,1804800,4756,1804800,4758,1804800,4759,1804800,4761,1804800,4763,787200,4764,787200
4853,5460388,4860,0,0,4851,1804800,4853,1804800,4855,1804800,4857,1804800,4858,1804800,4860,1804800,4862,787200,4864,787200
4954,5463496,4962,0,0,4951,1804800,4955,1804800,4957,1804800,4958,1804800,4960,1804800,4962,1804800,4964,787200,4966,787200
5058,5456004,5063,0,0,5056,1804800,5058,1804800,5059,1804800,5061,1804800,5062,1804800,5063,1804800,5081,2208000,5082,2208000
5158,5470616,5164,0,0,5157,1804800,5159,1804800,5161,1804800,5162,1804800,5163,1804800,5164,1804800,5165,2208000,5166,2208000
5260,5446116,5267,0,0,5258,1804800,5261,1804800,5262,1804800,5264,1804800,5266,1804800,5267,1804800,5269,787200,5270,787200
5361,5451844,5364,0,0,5359,1804800,5361,1804800,5362,1804800,5363,1804800,5364,1804800,5365,1804800,5365,1036800,5366,1036800
5461,5445696,5465,0,0,5460,1804800,5462,1804800,5463,1804800,5464,1804800,5465,1804800,5466,1804800,5467,1248000,5468,979200
5563,5455716,5569,0,0,5562,1804800,5564,1804800,5566,1804800,5567,1804800,5568,1804800,5570,1804800,5572,787200,5573,787200
5664,5458588,5669,0,0,5662,1804800,5664,1804800,5665,1804800,5666,1804800,5668,1804800,5669,1804800,5670,787200,5671,787200
5765,5458548,5775,0,0,5762,1804800,5765,1804800,5767,1804800,5772,1804800,5774,1804800,5776,1804800,5778,787200,5779,787200
5865,5458708,5871,0,0,5863,1804800,5866,1804800,5867,1804800,5869,1804800,5870,1804800,5872,1804800,5874,787200,5875,787200
5970,5459556,5995,0,0,5965,576000,5973,576000,5978,768000,5983,768000,5991,768000,5997,1248000,6000,787200,6006,787200
6070,5455272,6085,0,0,6065,1248000,6072,1248000,6076,1516800,6079,1516800,6082,1516800,6085,1516800,6087,787200,6089,787200
6166,5455488,6170,0,0,6165,1516800,6167,1516800,6168,1516800,6168,1516800,6169,1516800,6170,1516800,6171,1401600,6171,1401600
6271,5456968,6282,0,0,6267,576000,6272,576000,6275,576000,6278,576000,6280,576000,6283,576000,6286,787200,6288,787200
6371,5458324,6380,0,0,6368,1248000,6373,1248000,6375,1248000,6377,1612800,6379,1612800,6381,1612800,6383,787200,6385,787200
6472,5459088,6478,0,0,6470,1804800,6473,1804800,6474,1804800,6475,1804800,6477,1804800,6479,1804800,6481,787200,6482,787200
6574,5458460,6587,0,0,6571,1612800,6575,1612800,6578,1516800,6581,1516800,6585,1516800,6588,1516800,6592,787200,6594,787200
6673,5458704,6684,0,0,6671,1804800,6674,1804800,6678,1516800,6680,1516800,6682,1516800,6686,1516800,6689,979200,6693,979200
6778,5459056,6793,0,0,6773,1804800,6779,1804800,6782,1804800,6788,1804800,6792,1804800,6795,1804800,6797,979200,6799,979200
6877,5459928,6894,0,0,6873,1708800,6879,1804800,6884,1804800,6887,1804800,6891,1804800,6895,1804800,6897,1248000,6898,1248000
6977,5458160,6985,0,0,6974,1804800,6978,1804800,6980,1804800,6982,1804800,6984,1804800,6986,1804800,6988,1766400,6989,1766400
7077,5459864,7082,0,0,7076,576000,7077,576000,7079,576000,7080,576000,7081,576000,7082,576000,7083,1248000,7084,1248000
7180,5459496,7193,0,0,7177,1017600,7182,1017600,7185,1017600,7188,1017600,7190,1017600,7194,1017600,7197,787200,7200,787200
7280,5458632,7286,0,0,7278,1612800,7280,1612800,7282,1612800,7283,1612800,7285,1612800,7286,1612800,7288,787200,7289,787200
7380,5460016,7384,0,0,7378,1804800,7380,1804800,7381,1804800,7382,1804800,7383,1804800,7385,1804800,7386,787200,7387,787200
7481,5455832,7489,0,0,7479,1516800,7482,1516800,7484,1516800,7486,1516800,7488,1516800,7489,1516800,7491,787200,7493,787200
7535,5457508,7541,0,0,7533,1516800,7536,1708800,7537,1708800,7539,1708800,7540,1708800,7542,1708800,7543,787200,7544,787200
7636,5458660,7649,0,0,7633,1017600,7637,768000,7641,768000,7644,768000,7647,768000,7650,768000,7655,787200,7658,787200
7739,5458692,7752,0,0,7735,768000,7741,576000,7744,576000,7747,576000,7750,576000,7753,576000,7769,787200,7771,787200
7840,5458912,7854,0,0,7836,1017600,7841,1017600,7847,1017600,7849,1017600,7851,1017600,7855,1017600,7857,787200,7859,787200
7939,5457968,7944,0,0,7937,1804800,7940,1804800,7942,1804800,7943,1804800,7944,1804800,7944,1804800,7946,787200,7947,787200
8039,5458792,8042,0,0,8037,1804800,8039,1804800,8040,1804800,8041,1804800,8042,1804800,8043,1804800,8044,787200,8044,787200
8139,5460140,8143,0,0,8137,1804800,8140,1804800,8141,1804800,8142,1804800,8142,1804800,8144,1804800,8145,2073600,8146,2073600
8242,5457256,8253,0,0,8239,1248000,8242,1248000,8245,1248000,8247,1248000,8250,1248000,8254,1248000,8258,787200,8259,787200
8344,5457540,8355,0,0,8340,768000,8345,768000,8348,768000,8350,768000,8353,768000,8356,1017600,8359,787200,8362,787200
8445,5461164,8450,0,0,8442,1804800,8445,1804800,8446,1804800,8448,1804800,8449,1804800,8451,1804800,8453,787200,8455,787200
8550,5443476,8562,0,0,8545,1248000,8551,1248000,8555,1248000,8558,1516800,8561,1516800,8563,1516800,8565,787200,8567,787200
8648,5444136,8653,0,0,8645,1804800,8648,1804800,8650,1804800,8650,1804800,8651,1804800,8653,1804800,8654,787200,8656,787200
8749,5449648,8754,0,0,8747,1804800,8749,1804800,8750,1804800,8752,1804800,8753,1804800,8755,1804800,8756,1036800,8757,1036800
8849,5447844,8853,0,0,8847,1804800,8849,1804800,8851,1804800,8852,1804800,8853,1804800,8854,1804800,8855,787200,8856,787200
8952,5448316,8958,0,0,8949,1248000,8953,1248000,8954,1248000,8956,768000,8957,768000,8959,768000,8961,787200,8963,787200
9054,5445136,9060,0,0,9049,1804800,9054,1804800,9057,1516800,9059,1516800,9060,1516800,9061,1516800,9062,787200,9063,787200
9156,5445412,9168,0,0,9151,576000,9157,576000,9160,576000,9163,576000,9166,576000,9169,576000,9172,787200,9174,787200
9255,5445784,9267,0,0,9252,1017600,9258,1804800,9260,1804800,9264,1804800,9266,1804800,9268,1804800,9269,787200,9270,787200
9359,5445568,9364,0,0,9353,1804800,9359,1804800,9361,1804800,9361,1804800,9362,1804800,9365,1804800,9366,787200,9367,787200
9456,5446392,9463,0,0,9453,1804800,9457,1708800,9459,1708800,9461,1708800,9462,1708800,9463,1708800,9465,787200,9466,787200
9555,5447212,9561,0,0,9553,1804800,9556,1804800,9558,1804800,9559,1804800,9560,1804800,9561,1804800,9562,787200,9563,787200
9658,5448552,9663,0,0,9654,1804800,9658,1804800,9660,1804800,9661,1804800,9662,1804800,9664,1804800,9665,1766400,9666,1766400
9756,5448268,9761,0,0,9754,1804800,9756,1804800,9758,1804800,9758,1804800,9759,1804800,9761,1804800,9762,787200,9763,787200
9857,5453780,9870,0,0,9855,1804800,9858,1804800,9865,1804800,9867,1804800,9869,1804800,9871,1804800,9872,787200,9874,787200
9959,5456220,9968,0,0,9956,1804800,9960,1804800,9962,1804800,9964,1804800,9966,1804800,9969,1804800,9972,787200,9975,787200
10059,5457544,10067,0,0,10056,1804800,10061,1804800,10063,1804800,10064,1804800,10066,1804800,10067,1804800,10076,1248000,10077,1248000
10159,5462288,10170,0,0,10157,1804800,10160,1804800,10161,1804800,10163,1804800,10169,1804800,10171,1804800,10172,787200,10173,787200
10261,5458052,10267,0,0,10259,1804800,10262,1804800,10264,1804800,10265,1804800,10267,1804800,10268,1804800,10269,787200,10271,787200
10362,5459944,10369,0,0,10360,1804800,10363,1804800,10365,1804800,10367,1804800,10368,1804800,10370,1804800,10371,787200,10373,787200
10465,5458864,10474,0,0,10461,1804800,10469,1804800,10470,1804800,10472,1804800,10473,1804800,10474,1804800,10476,1766400,10476,1766400
10565,5458408,10576,0,0,10562,1804800,10566,1804800,10571,1804800,10573,1804800,10574,1804800,10576,1804800,10578,1401600,10579,1401600
10664,5454696,10673,0,0,10662,1804800,10666,1804800,10668,1804800,10670,1804800,10672,1804800,10674,1804800,10677,787200,10678,787200
10764,5456580,10770,0,0,10762,1804800,10765,1804800,10766,1804800,10767,1804800,10769,1804800,10771,1804800,10774,787200,10775,787200
10866,5461336,10879,0,0,10863,1804800,10867,1804800,10869,1804800,10873,1804800,10877,1804800,10880,1804800,10889,787200,10891,787200
10967,5456280,10974,0,0,10965,1804800,10967,1804800,10969,1804800,10971,1804800,10972,1804800,10974,1804800,10976,787200,10977,787200
11070,5457224,11080,0,0,11066,1804800,11073,1804800,11075,1804800,11077,1804800,11079,1804800,11080,1804800,11081,787200,11082,787200
11169,5458484,11174,0,0,11167,1804800,11169,1804800,11170,1804800,11172,1804800,11173,1804800,11174,1804800,11175,787200,11176,787200
11271,5458036,11284,0,0,11268,1804800,11272,1804800,11275,1804800,11278,1804800,11283,1804800,11286,1804800,11288,1555200,11290,1555200
11370,5454552,11375,0,0,11368,768000,11371,768000,11372,768000,11373,768000,11374,768000,11377,576000,11378,787200,11379,787200
11472,5455112,11479,0,0,11469,1612800,11472,1612800,11474,1612800,11476,1516800,11478,1516800,11479,1516800,11481,787200,11482,787200
11574,5456216,11580,0,0,11572,1516800,11575,1516800,11576,1248000,11577,1248000,11579,1248000,11580,1248000,11582,787200,11583,787200
11673,5457192,11679,0,0,11671,1804800,11674,1804800,11675,1804800,11677,1804800,11678,1804800,11679,1804800,11681,787200,11682,787200
11774,5458516,11777,0,0,11772,1804800,11774,1804800,11775,1804800,11776,1804800,11777,1804800,11777,1804800,11778,787200,11779,787200
11874,5456816,11878,0,0,11873,1804800,11875,1804800,11876,1804800,11877,1804800,11878,1804800,11878,1804800,11879,787200,11880,787200
11979,5457068,11994,0,0,11974,576000,11980,768000,11984,768000,11988,768000,11992,768000,11995,768000,11997,787200,11999,787200
12082,5457352,12092,0,0,12077,576000,12083,576000,12085,576000,12087,576000,12089,576000,12092,576000,12095,787200,12097,787200
12183,5457728,12196,0,0,12178,768000,12184,768000,12187,768000,12191,768000,12194,768000,12197,1248000,12200,787200,12202,787200
