Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
25,5373796,29,0,0,7,1804800,25,1804800,26,1804800,27,1804800,28,1804800,29,1804800,30,2208000,31,2208000
108,5374048,111,0,0,107,1804800,109,1804800,109,1804800,110,1804800,111,1804800,111,1804800,112,2208000,113,2208000
209,5375056,212,0,0,207,1804800,209,1804800,210,1804800,211,1804800,211,1804800,212,1804800,213,2208000,214,2208000
309,5376820,313,0,0,308,1804800,310,1804800,310,1804800,311,1804800,313,1804800,314,1804800,315,2208000,316,2208000
410,5376820,415,0,0,409,1804800,411,1804800,412,1804800,413,1804800,414,1804800,415,1804800,416,2208000,417,2208000
515,5377324,525,0,0,511,576000,517,576000,519,576000,521,576000,523,576000,526,576000,529,787200,531,787200
616,5377600,638,0,0,611,576000,617,576000,620,576000,623,576000,636,1248000,639,1248000,640,787200,642,787200
717,5377632,729,0,0,712,576000,719,576000,721,576000,725,576000,727,576000,730,576000,732,787200,734,787200
817,5378136,827,0,0,813,576000,818,576000,821,576000,823,576000,825,576000,828,576000,830,787200,832,787200
923,5378136,934,0,0,918,576000,924,576000,927,576000,930,576000,932,576000,936,576000,939,787200,941,787200
1021,5378412,1031,0,0,1018,1017600,1022,1017600,1024,1017600,1028,1017600,1030,1017600,1032,1017600,1033,787200,1035,787200
1121,5378664,1132,0,0,1118,576000,1122,576000,1125,576000,1128,576000,1130,576000,1133,576000,1135,787200,1138,787200
1223,5378916,1237,0,0,1219,576000,1224,576000,1226,576000,1232,576000,1235,576000,1238,576000,1240,787200,1244,787200
1324,5379476,1334,0,0,1320,576000,1325,576000,1327,576000,1330,576000,1332,576000,1335,576000,1337,787200,1339,787200
1425,5379728,1434,0,0,1421,576000,1426,576000,1429,576000,1431,576000,1433,576000,1435,576000,1438,787200,1440,787200
1528,5380004,1538,0,0,1523,576000,1529,576000,1532,576000,1534,576000,1536,576000,1539,576000,1543,787200,1545,787200
1628,5380184,1637,0,0,1625,768000,1629,768000,1631,576000,1633,576000,1635,576000,1637,576000,1639,1248000,1641,1248000
1729,5380184,1742,0,0,1725,576000,1730,576000,1733,576000,1736,576000,1739,576000,1743,576000,1747,787200,1751,787200
1830,5380184,1842,0,0,1826,576000,1831,576000,1835,576000,1838,576000,1841,576000,1843,576000,1846,787200,1849,787200
1931,5380184,1944,0,0,1927,576000,1932,576000,1936,576000,1940,576000,1942,576000,1945,576000,1947,787200,1949,787200
2032,5380724,2042,0,0,2028,576000,2033,576000,2036,576000,2038,576000,2040,576000,2043,576000,2045,787200,2046,787200
2136,5380724,2146,0,0,2131,576000,2137,576000,2140,576000,2142,576000,2144,576000,2147,576000,2149,787200,2152,787200
2235,5380976,2246,0,0,2231,576000,2236,576000,2239,576000,2241,576000,2244,576000,2247,576000,2249,787200,2251,787200
2338,5380748,2350,0,0,2333,576000,2339,576000,2343,576000,2345,576000,2348,576000,2351,1248000,2353,787200,2355,787200
2437,5380772,2450,0,0,2433,576000,2439,576000,2441,576000,2444,576000,2448,576000,2451,1248000,2453,787200,2455,787200
2539,5380772,2554,0,0,2535,576000,2543,576000,2547,576000,2551,576000,2553,1248000,2554,1248000,2558,787200,2561,787200
2640,5381204,2650,0,0,2636,576000,2640,576000,2643,576000,2646,576000,2649,576000,2651,576000,2653,787200,2655,787200
2741,5381228,2751,0,0,2737,576000,2742,576000,2745,576000,2747,576000,2750,576000,2752,1248000,2754,787200,2757,787200
2843,5381536,2852,0,0,2839,768000,2844,768000,2847,768000,2849,768000,2851,768000,2853,768000,2855,787200,2857,787200
2943,5381308,2954,0,0,2939,576000,2944,576000,2946,576000,2949,576000,2952,576000,2955,576000,2957,787200,2959,787200
3044,5381584,3053,0,0,3040,576000,3045,576000,3047,576000,3049,576000,3052,576000,3054,576000,3056,787200,3059,787200
3145,5381584,3157,0,0,3141,576000,3146,576000,3149,576000,3151,576000,3155,576000,3157,576000,3160,787200,3162,787200
3244,5385592,3252,0,0,3242,1612800,3245,1612800,3248,1612800,3249,1612800,3250,1612800,3252,1017600,3253,787200,3254,787200
3348,5385616,3357,0,0,3344,576000,3349,576000,3352,576000,3354,576000,3356,576000,3358,576000,3360,787200,3363,787200
3448,5385364,3459,0,0,3444,576000,3449,576000,3452,576000,3454,576000,3457,576000,3460,576000,3463,787200,3465,787200
3549,5385640,3563,0,0,3545,576000,3550,576000,3552,576000,3557,576000,3561,576000,3564,576000,3568,787200,3571,787200
3650,5382492,3657,0,0,3647,1017600,3651,1017600,3652,576000,3654,576000,3656,576000,3658,576000,3660,787200,3662,787200
3752,5382492,3765,0,0,3748,576000,3753,576000,3755,576000,3759,576000,3761,576000,3766,576000,3768,787200,3770,787200
3853,5383020,3863,0,0,3849,576000,3854,576000,3857,576000,3859,576000,3860,576000,3864,576000,3867,787200,3869,787200
3955,5382996,3967,0,0,3950,576000,3956,576000,3961,576000,3964,576000,3965,576000,3968,576000,3972,787200,3973,787200
4055,5383248,4064,0,0,4051,576000,4056,576000,4058,576000,4061,576000,4063,576000,4065,576000,4068,787200,4070,787200
4158,5383500,4167,0,0,4152,576000,4159,576000,4162,576000,4164,576000,4166,576000,4168,576000,4171,787200,4172,787200
4262,5383532,4272,0,0,4253,576000,4263,576000,4266,576000,4268,576000,4271,576000,4272,1248000,4273,787200,4274,787200
4359,5383784,4367,0,0,4355,576000,4360,576000,4362,576000,4364,576000,4366,576000,4368,576000,4370,787200,4372,787200
4460,5384164,4474,0,0,4456,576000,4461,576000,4466,576000,4470,576000,4472,576000,4475,576000,4477,787200,4479,787200
4561,5384188,4574,0,0,4557,576000,4562,576000,4565,576000,4569,576000,4572,768000,4575,768000,4579,787200,4581,787200
4662,5384700,4673,0,0,4658,576000,4663,576000,4666,576000,4668,576000,4671,576000,4673,576000,4676,787200,4679,787200
4762,5385208,4770,0,0,4759,768000,4763,768000,4765,768000,4767,768000,4769,768000,4771,768000,4773,787200,4775,787200
4864,5385176,4876,0,0,4860,576000,4865,576000,4869,576000,4872,576000,4874,576000,4876,576000,4879,787200,4881,787200
4966,5385460,4975,0,0,4962,576000,4967,576000,4969,576000,4971,576000,4973,576000,4976,576000,4978,787200,4980,787200
5067,5385964,5077,0,0,5063,576000,5068,576000,5071,576000,5073,576000,5075,576000,5078,576000,5080,787200,5082,787200
5168,5385964,5178,0,0,5165,576000,5169,576000,5172,576000,5174,576000,5177,576000,5180,576000,5182,787200,5184,787200
5270,5385964,5283,0,0,5266,576000,5271,576000,5274,576000,5277,576000,5281,576000,5284,576000,5286,787200,5289,787200
5371,5386468,5379,0,0,5367,576000,5372,576000,5374,576000,5376,576000,5378,576000,5380,576000,5382,787200,5384,787200
5472,5386720,5480,0,0,5468,576000,5472,576000,5474,576000,5476,576000,5479,576000,5481,576000,5483,787200,5485,787200
5572,5386740,5582,0,0,5568,576000,5573,576000,5575,576000,5578,576000,5581,576000,5583,576000,5585,787200,5587,787200
5673,5386764,5682,0,0,5669,576000,5674,576000,5676,576000,5678,576000,5680,576000,5682,576000,5685,787200,5687,787200
5775,5386512,5792,0,0,5771,576000,5777,576000,5782,576000,5786,576000,5789,576000,5793,1248000,5795,787200,5796,787200
5875,5386512,5882,0,0,5871,1248000,5876,1248000,5878,1248000,5880,1248000,5881,1248000,5883,1248000,5884,787200,5886,787200
5977,5386260,5985,0,0,5973,576000,5978,576000,5980,576000,5982,576000,5984,576000,5986,576000,5989,787200,5991,787200
6083,5386544,6094,0,0,6078,576000,6085,576000,6087,576000,6089,576000,6092,576000,6095,576000,6099,787200,6101,787200
6185,5386568,6200,0,0,6178,576000,6186,576000,6189,576000,6191,576000,6197,576000,6200,576000,6204,787200,6208,787200
6283,5386568,6296,0,0,6279,576000,6284,576000,6287,576000,6290,576000,6294,576000,6297,576000,6300,787200,6303,787200
6385,5387072,6397,0,0,6380,576000,6386,576000,6389,576000,6393,576000,6395,576000,6398,576000,6401,787200,6403,787200
6486,5387072,6500,0,0,6481,576000,6488,576000,6491,576000,6494,576000,6497,576000,6500,576000,6503,787200,6505,787200
6585,5387812,6595,0,0,6582,1804800,6586,1708800,6588,1708800,6591,1804800,6594,1804800,6596,1804800,6598,787200,6599,787200
6686,5399232,6692,0,0,6684,1804800,6687,1804800,6688,1804800,6690,1804800,6691,1804800,6693,1804800,6694,2208000,6695,2208000
6787,5402696,6793,0,0,6785,1804800,6788,1804800,6790,1804800,6791,1804800,6792,1804800,6794,1804800,6795,787200,6796,787200
6887,5414288,6892,0,0,6885,1804800,6888,1804800,6889,1804800,6889,1804800,6890,1804800,6892,1804800,6894,979200,6895,979200
6989,5414472,6994,0,0,6986,1804800,6989,1804800,6992,1804800,6993,1804800,6994,1804800,6995,1804800,6995,979200,6996,979200
7089,5421276,7092,0,0,7087,1708800,7089,1708800,7090,1708800,7091,1804800,7092,1804800,7093,1804800,7094,787200,7094,787200
7189,5426820,7194,0,0,7187,1516800,7189,1516800,7191,1804800,7192,1804800,7193,1804800,7195,1804800,7196,787200,7197,787200
7293,5417536,7303,0,0,7288,1248000,7294,1248000,7300,1248000,7302,1248000,7303,1248000,7304,1248000,7306,787200,7307,787200
7392,5420684,7400,0,0,7389,1516800,7393,768000,7395,768000,7397,768000,7398,768000,7400,768000,7402,787200,7404,787200
7501,5420936,7512,0,0,7494,576000,7502,576000,7505,576000,7508,576000,7511,576000,7513,1248000,7516,787200,7517,787200
7599,5420732,7611,0,0,7595,576000,7600,576000,7603,576000,7606,576000,7608,576000,7611,768000,7614,787200,7618,787200
7701,5420804,7711,0,0,7696,576000,7702,576000,7705,576000,7707,576000,7709,576000,7712,576000,7714,787200,7717,787200
7802,5421056,7815,0,0,7797,576000,7804,576000,7808,576000,7811,576000,7814,576000,7816,576000,7819,787200,7823,787200
7904,5421396,7916,0,0,7899,576000,7905,576000,7908,576000,7910,576000,7914,576000,7918,576000,7921,787200,7924,787200
8006,5421168,8017,0,0,7999,576000,8007,576000,8010,576000,8013,576000,8015,576000,8018,576000,8023,787200,8025,787200
8105,5421792,8117,0,0,8100,576000,8106,576000,8110,576000,8113,576000,8115,576000,8117,576000,8121,787200,8128,787200
8206,5417232,8216,0,0,8202,768000,8207,768000,8208,768000,8210,768000,8213,576000,8217,576000,8220,787200,8222,787200
8306,5417784,8317,0,0,8303,768000,8307,768000,8309,768000,8311,576000,8315,576000,8318,576000,8320,787200,8322,787200
8408,5417808,8419,0,0,8404,576000,8409,576000,8411,576000,8415,576000,8417,576000,8420,576000,8422,787200,8424,787200
8459,5417932,8470,0,0,8456,768000,8460,768000,8462,768000,8466,768000,8468,768000,8471,1017600,8473,787200,8475,787200
8559,5418184,8571,0,0,8556,576000,8560,576000,8563,576000,8565,576000,8569,576000,8571,768000,8573,787200,8575,787200
8660,5418168,8669,0,0,8657,576000,8661,576000,8663,576000,8666,576000,8668,576000,8670,576000,8672,787200,8674,787200
8761,5418168,8774,0,0,8758,576000,8762,576000,8766,576000,8771,1248000,8772,1248000,8774,1248000,8776,787200,8777,787200
8862,5418168,8872,0,0,8858,576000,8863,576000,8866,576000,8868,576000,8870,576000,8872,576000,8878,787200,8881,787200
8965,5418136,8973,0,0,8961,576000,8966,576000,8969,576000,8971,1248000,8972,1248000,8974,1248000,8976,787200,8977,787200
9065,5418168,9073,0,0,9061,576000,9066,576000,9068,576000,9070,576000,9072,576000,9074,576000,9078,787200,9080,787200
9167,5418168,9176,0,0,9162,576000,9168,576000,9170,576000,9172,576000,9174,576000,9177,576000,9179,787200,9181,787200
9268,5418672,9278,0,0,9263,576000,9269,576000,9272,576000,9274,576000,9276,576000,9279,576000,9283,787200,9285,787200
9369,5418672,9379,0,0,9364,576000,9370,576000,9373,576000,9375,576000,9377,576000,9380,576000,9382,787200,9384,787200
9469,5418816,9477,0,0,9466,576000,9470,576000,9472,576000,9474,576000,9476,576000,9478,576000,9480,787200,9482,787200
9571,5418816,9580,0,0,9566,576000,9572,576000,9574,576000,9576,576000,9578,576000,9581,576000,9584,787200,9586,787200
9670,5419144,9681,0,0,9667,576000,9671,576000,9674,576000,9676,576000,9678,576000,9681,576000,9684,787200,9686,787200
9772,5419420,9781,0,0,9768,576000,9772,576000,9775,576000,9777,576000,9779,576000,9781,576000,9784,787200,9787,787200
9874,5419068,9883,0,0,9869,576000,9875,576000,9877,576000,9879,576000,9881,576000,9884,576000,9886,787200,9890,787200
9975,5419092,9983,0,0,9971,576000,9976,576000,9978,576000,9980,576000,9982,576000,9984,576000,9986,787200,9988,787200
10078,5419092,10089,0,0,10072,576000,10079,576000,10082,576000,10084,576000,10087,576000,10090,576000,10092,787200,10094,787200
10177,5419140,10187,0,0,10172,576000,10177,576000,10180,576000,10183,576000,10185,576000,10188,576000,10191,787200,10192,787200
10277,5419676,10289,0,0,10274,576000,10279,576000,10282,576000,10284,576000,10287,576000,10290,576000,10292,787200,10294,787200
10379,5419220,10389,0,0,10375,576000,10379,576000,10382,576000,10384,576000,10387,576000,10389,576000,10392,787200,10393,787200
10480,5419472,10489,0,0,10476,576000,10481,576000,10483,576000,10485,576000,10488,576000,10490,576000,10492,787200,10494,787200
10580,5419496,10589,0,0,10577,576000,10581,576000,10583,576000,10585,576000,10587,576000,10590,576000,10592,787200,10594,787200
10683,5419336,10692,0,0,10679,576000,10683,576000,10686,576000,10688,576000,10691,576000,10693,576000,10696,787200,10698,787200
10782,5419588,10792,0,0,10779,576000,10783,576000,10786,576000,10788,576000,10790,576000,10792,576000,10795,787200,10797,787200
10884,5419864,10894,0,0,10880,576000,10885,576000,10887,576000,10890,576000,10893,576000,10895,576000,10898,787200,10900,787200
10984,5420368,10993,0,0,10981,576000,10985,576000,10987,576000,10989,576000,10991,576000,10994,576000,10996,787200,10998,787200
11085,5419912,11093,0,0,11081,576000,11086,576000,11088,576000,11090,576000,11092,576000,11094,576000,11097,787200,11099,787200
11186,5420164,11194,0,0,11182,576000,11187,576000,11189,576000,11191,576000,11193,576000,11195,576000,11197,787200,11199,787200
11287,5419920,11296,0,0,11283,576000,11288,576000,11290,576000,11292,576000,11294,576000,11296,576000,11298,787200,11300,787200
11389,5419944,11399,0,0,11384,576000,11390,576000,11393,576000,11395,576000,11397,576000,11399,576000,11401,787200,11404,787200
11489,5420196,11500,0,0,11485,576000,11491,576000,11493,576000,11496,576000,11498,576000,11501,576000,11503,787200,11505,787200
11591,5420732,11604,0,0,11587,576000,11592,576000,11594,576000,11597,576000,11599,576000,11604,576000,11607,787200,11609,787200
11691,5420984,11703,0,0,11687,576000,11692,576000,11695,576000,11698,576000,11701,576000,11704,576000,11707,787200,11709,787200
11790,5420008,11797,0,0,11788,1324800,11791,1017600,11793,1017600,11794,1017600,11795,1017600,11798,1017600,11799,1248000,11801,1248000
11893,5420008,11902,0,0,11889,576000,11894,576000,11896,576000,11898,576000,11900,576000,11903,576000,11905,787200,11907,787200
