"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.119.140","198.143.164.252",34,23472,17,1166,17,22306,0,0.168638501,55313.58464814627,1058168.798594812
"192.0.77.48","192.168.119.140",101,30703,43,25495,58,5208,0.478069515,1.249087493,163287.20057082502,33355.54973809989
"192.0.76.3","192.168.119.140",23,7442,10,6312,13,1130,0.489747384,0.276882794,182373.1957862286,32649.193795696818
"142.251.39.104","192.168.119.140",19,6995,8,5841,11,1154,0.651428425,0.29655177900000007,157571.1336400379,31131.157031433617

"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"52.222.142.236","192.168.119.140",22,7009,10,5815,12,1194,0,0.278677672,166931.20645847797,34276.15829947079

"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.0.77.48","192.168.119.140",30,1992,15,1053,15,939,0,4.239340015,1987.1017588099737,1771.9739330698626
"54.170.186.82","192.168.119.140",23,12728,11,10038,12,2690,0.699696297,1.584007937,50696.71566929781,13585.790511098936
"87.248.116.11","192.168.119.140",120,36996,52,30414,68,6582,1.087225745,1.580378112,153958.09278330475,33318.60875582666
"87.248.116.12","192.168.119.140",23,7305,10,6049,13,1256,1.764945073,0.4117065390000001,117540.0325618826,24405.73332744661
"34.160.144.191","192.168.119.140",3,276,1,105,2,171,4.028081411,0.04237480500000057,19823.100070902714,32283.33440118442
"13.227.209.198","192.168.119.140",4,342,2,171,2,171,4.053409033,0.022805152000000106,59986.44516817926,59986.44516817926


"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"87.248.116.12","192.168.119.140",3,276,1,105,2,171,0,0.053298547,15760.279543830717,25666.740971381452
"172.217.168.228","192.168.119.140",77,24006,37,19682,40,4324,0.438791456,16.064007975,9801.787962571028,2153.3853851314466
"151.101.1.16","192.168.119.140",15,6556,7,5593,8,963,0.474949851,0.12515345700000002,357513.0969015102,61556.42987951982
"142.251.36.36","192.168.119.140",19,5993,9,4903,10,1090,0.936785678,10.28159846,3814.9710040319937,848.1171516204106
"52.222.143.3","192.168.119.140",29,7448,13,5881,16,1567,0.993788946,0.25029597699999995,187969.46145083272,50084.70431788044
"104.18.40.122","192.168.119.140",665,457383,374,433994,291,23389,8.443691816,10.625777603000001,326748.03950533987,17609.25242282242
"52.214.104.133","192.168.119.140",3,198,2,132,1,66,8.698918252,0.049457211,21351.79033852111,10675.895169260555
"34.117.237.239","192.168.119.140",3,276,1,105,2,171,14.430781646,0.02659200699999964,31588.43933818201,51444.029779324985
"13.227.219.95","192.168.119.140",22,7567,10,6371,12,1196,14.996654851,1.5485957899999985,32912.39736613261,6178.500588588071
