"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.119.140","198.143.164.252",348,280298,128,12600,220,267698,0,10.708303906,9413.255440342935,199992.82975150185
"142.251.36.4","192.168.119.140",2,132,1,66,1,66,5.69856534,0.04347328600000022,12145.389699780166,12145.389699780166
"172.217.168.228","192.168.119.140",2,132,1,66,1,66,6.648934756,0.041101666000000314,12846.194604374332,12846.194604374332
"192.0.77.48","192.168.119.140",54,15493,23,12825,31,2668,8.993020139,2.0421626679999996,50240.85573970546,10451.664960119624
"192.0.76.3","192.168.119.140",23,7442,10,6312,13,1130,8.994380766999999,1.3929853470000015,36250.20184795953,6489.659076076405
"142.250.179.168","192.168.119.140",19,6993,8,5839,11,1154,9.643362981,0.9993123730000004,46744.14253449855,9238.35254064246

"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"172.217.168.228","192.168.119.140",14,5635,7,4763,7,872,0,9.920376357,3840.983308371473,703.1991276296293
"192.0.77.48","192.168.119.140",141,45630,63,38172,78,7458,0.01353738,1.781001127,171463.114408237,33500.25954250842
"52.222.143.3","192.168.119.140",94,28452,46,23112,48,5340,0.063602568,1.7839978019999998,103641.38329807203,23946.217844050912
"142.250.179.132","192.168.119.140",17,5849,8,4837,9,1012,0.968587726,10.119792114,3823.793963758098,800.0164340134785
"13.227.209.198","192.168.119.140",25,7220,12,5815,13,1405,1.009148148,0.8144413240000001,57118.909157905146,13800.871430241914
"52.222.142.236","192.168.119.140",44,14018,20,11630,24,2388,1.97037336,2.471654903,37642.7954756433,7729.234359057285
"142.250.179.196","192.168.119.140",2,132,1,66,1,66,8.486380379,0.04205422999999975,12555.217394302623,12555.217394302623

"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"87.248.116.12","192.168.119.140",83,24880,36,20235,47,4645,0,15.936468698,10157.833775327885,2331.7587292511994
"87.248.116.11","192.168.119.140",100,30765,44,24895,56,5870,1.324574552,14.676917047000002,13569.607252138065,3199.582027316748
"34.253.87.82","192.168.119.140",19,6813,8,5623,11,1190,6.791818498,0.37197572,120932.62431214596,25593.06827875755
"142.251.36.36","192.168.119.140",4,264,2,132,2,132,8.171249764,0.6297176750000002,1676.9419724482082,1676.9419724482082
"54.77.71.24","192.168.119.140",19,7703,8,5947,11,1756,10.501853411999999,0.34500038800000077,137901.2941863703,40718.794785819104
"54.77.213.124","192.168.119.140",55,23929,25,19770,30,4159,10.982983366,4.421834489,35767.960196938075,7524.478829492435
"34.117.237.239","192.168.119.140",8,684,4,342,4,342,11.423506275,0.8604025810000007,3179.906779010462,3179.906779010462
"192.0.77.48","192.168.119.140",26,1698,13,906,13,792,12.551928916,2.20245186,3290.877831036906,2876.7938655421963

"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"104.18.40.122","192.168.119.140",79,22900,33,17686,46,5214,0,11.148671144,12691.019240992333,3741.432450669118
"172.64.147.134","192.168.119.140",622,450725,361,429687,261,21038,2.137050596,8.640368919,397841.3459222805,19478.79790524949
"142.251.36.4","192.168.119.140",2,132,1,66,1,66,6.407382516,0.04308695699999987,12254.28846135506,12254.28846135506
"172.217.168.228","192.168.119.140",2,132,1,66,1,66,6.955372656,0.043052841999999814,12263.998739038001,12263.998739038001
"13.227.219.115","192.168.119.140",22,7567,10,6371,12,1196,7.366077943,1.4443996009999998,35286.633951375625,6624.205651521778
"52.222.137.187","192.168.119.140",44,15176,20,12758,24,2418,7.371295772,1.532239874,66610.98025960915,12624.655139342758
